"","UC"
"F12647",8.0398
"F55738",10.5984
"F42839",8.2538
"F2265",7.2098
"F40837",-6.375
"F41192",10.6889
"F51392",-8.1188
"F47297",9.7122
"F6664",8.0042
"F2010",9.6535
"F1419",-6.213
"F1394",-6.3733
"F844",-7.2249
"F48623",11.5272
"F40201",-2.1082
"F848",-7.5608
"F40933",6.3752
"F49479",7.6555
"F720",9.6412
"F41019",-7.7368
"F45644",8.5872
"F51429",-5.9625
"F55521",9.565
"F39757",-7.2637
"F51482",5.0782
"F9856",3.1256
"F41451",-5.3479
"F1340",-6.4943
"F41663",-6.1275
"F1363",-5.9128
"F54072",9.1494
"F918",-7.2053
"F55477",10.061
"F3905",6.708
"F1414",-5.4296
"F1202",6.8405
"F2347",7.8893
"F7891",3.9863
"F1046",5.7411
"F970",-6.5113
"F50327",4.4932
"F41152",-6.8977
"F41395",-5.9993
"F41491",5.7661
"F40981",-6.5648
"F840",-6.4414
"F55986",7.538
"F1422",-3.3347
"F51388",-8.1251
"F6612",7.9496
"F872",-6.6486
"F40889",-8.1611
"F1347",-5.61
"F47682",3.0679
"F54943",9.5616
"F41903",-4.1292
"F49384",2.9982
"F1580",-6.703
"F955",8.3949
"F1734",-5.8518
"F6736",4.0499
"F40838",-5.3844
"F43307",10.0178
"F805",-6.9317
"F1688",-5.3354
"F1167",-7.178
"F41170",-2.1505
"F876",-6.4908
"F8559",5.1837
"F10812",3.8645
"F8553",5.0708
"F1296",-5.4781
"F926",6.5893
"F2652",5.9265
"F40859",-5.4661
"F52759",5.6945
"F40945",-6.5549
"F51360",-5.652
"F40776",-5.2178
"F1852",6.6616
"F1248",-5.1229
"F788",-6.0925
"F48907",9.9897
"F56284",7.2084
"F18020",6.5412
"F40404",9.1962
"F9482",5.5394
"F10701",1.6094
"F41418",-4.865
"F2307",6.3259
"F5820",5.1639
"F52674",3.7679
"F2750",1.8117
"F1961",5.5108
"F858",-6.5104
"F13698",6.4348
"F43091",7.2192
"F8595",8.3706
"F53644",9.864
"F3307",5.7425
"F3326",8.7283
"F49819",2.1048
"F41457",-5.0397
"F4188",5.8408
"F8903",5.7687
"F49776",3.2221
"F40903",-6.2582
"F40839",-7.0555
"F53599",8.5423
"F1385",-7.03
"F42390",6.7269
"F6973",5.3376
"F40820",-5.7981
"F41493",-6.9953
"F1562",7.9658
"F40970",-4.222
"F11662",8.0688
"F40815",-7.718
"F38593",7.8214
"F7454",4.6046
"F40318",4.947
"F42418",3.9121
"F48893",4.8891
"F2958",-4.5189
"F7707",8.5456
"F41189",-6.1329
"F41401",-5.7456
"F1293",-5.0534
"F2370",-5.2359
"F3863",3.9399
"F9043",8.3488
"F1040",5.1004
"F7205",7.6629
"F43149",7.8493
"F53071",3.5881
"F2719",5.8298
"F40817",-7.7833
"F11068",1.9002
"F1907",8.391
"F1478",-6.2722
"F1252",-4.8804
"F2095",6.9701
"F49784",7.2748
"F2168",7.163
"F8543",2.4172
"F40886",-6.7563
"F55877",7.6421
"F10490",8.2045
"F4503",8.7303
"F11180",3.7741
"F52397",-6.4718
"F1697",-6.2237
"F9516",-4.1552
"F24674",4.0186
"F41524",-9.0701
"F968",-5.2612
"F1565",7.8595
"F9347",5.784
"F51499",-5.0607
"F51456",3.3532
"F1752",6.3845
"F6273",4.4235
"F26422",7.5839
"F47359",7.136
"F41784",-5.9842
"F52606",5.9275
"F52087",8.3003
"F49485",10.3567
"F1550",3.9798
"F857",-2.1803
"F41235",-6.5195
"F40228",-8.577
"F4629",4.7289
"F56870",8.2192
"F1178",-4.0193
"F45105",9.7103
"F1468",-6.9596
"F2957",4.2975
"F5126",7.472
"F53983",4.2897
"F38482",-5.6464
"F9723",6.8494
"F1245",-4.1447
"F1691",-4.6577
"F6871",3.5385
"F2999",3.5367
"F53645",7.1314
"F40880",-5.4936
"F8051",7.8085
"F4027",6.6463
"F45668",8.0445
"F11555",8.4821
"F50111",0.9901
"F1798",-1.459
"F53923",7.9309
"F2465",-4.5976
"F53773",8.6497
"F1018",-5.2035
"F1331",-7.3557
"F53439",3.9338
"F51569",-8.6391
"F52352",2.6014
"F1603",-5.8646
"F1465",-4.5209
"F53784",9.6445
"F8350",6.3546
"F51396",2.411
"F51444",6.3684
"F28140",6.5256
"F7121",3.2033
"F1627",-5.5314
"F41538",-8.3872
"F51308",-4.8754
"F52512",8.2669
"F722",6.5054
"F7449",8.0821
"F55685",8.4317
"F41216",-4.9865
"F40969",-5.802
"F43111",-3.5197
"F50378",-7.8263
"F41950",-6.8145
"F36234",5.579
"F10281",3.6151
"F56006",9.7087
"F51370",-5.4798
"F4741",5.7918
"F19022",6.0148
"F40742",-6.4338
"F51936",-5.4184
"F1168",-5.9479
"F1491",-5.9068
"F51468",2.342
"F1595",-6.6892
"F761",-2.1627
"F9488",8.9891
"F40873",-4.8215
"F41750",-1.4981
"F42631",4.863
"F51474",-5.3252
"F41120",-5.3482
"F41080",6.8513
"F903",-5.8369
"F811",-6.2374
"F40316",-4.8541
"F19766",4.2353
"F15025",-6.3621
"F41002",-2.6408
"F41109",-4.1894
"F8531",7.8021
"F54046",9.2816
"F40713",-5.606
"F2044",-3.0709
"F51378",-5.6261
"F41464",-5.8253
"F41492",-5.5734
"F6285",3.5505
"F2530",5.404
"F56145",7.8803
"F8568",-5.268
"F40808",-5.8906
"F42135",-4.7719
"F3189",5.2853
"F49628",7.8684
"F41233",-5.3196
"F1335",-4.7807
