"","UC"
"F42097",1.0177
"F11077",2.4419
"F44469",-1.0386
"F12479",-1.5659
"F42312",0.9388
"F27877",-2.8811
"F10236",-2.0857
"F22600",-1.3192
"F6226",2.1701
"F12570",-2.1299
"F50919",-1.5573
"F48294",-5.6101
"F21268",3.4849
"F29947",2.0475
"F1153",-1.3594
"F39348",-0.6257
"F10038",1.6961
"F39541",-2.0065
"F52354",2.44
"F62563",2.694
"F37093",-3.147
"F11989",1.0073
"F21968",-4.0312
"F14780",-1.5188
"F25446",3.2611
"F53934",-3.3296
"F17487",-1.0361
"F57253",3.1098
"F50722",-1.6494
"F13109",-3.8445
"F50914",-1.6478
"F52634",-0.8427
"F32876",-1.0823
"F8488",-1.0201
"F61745",2.6225
"F33043",-3.8466
"F33733",2.5362
"F51582",-1.5185
"F21927",-3.8813
"F10310",-2.0639
"F52073",-1.3565
"F7149",-2.3604
"F26986",-1.4238
"F56240",1.0726
"F60602",2.4969
"F50457",3.2385
"F61359",1.8893
"F9465",-2.7604
"F51916",-3.4425
"F291",-2.2234
"F28401",-3.7996
"F23016",-2.3379
"F47331",2.3464
"F51405",-3.1648
"F48927",4.3438
"F31952",0.3667
"F47649",-3.1963
"F3772",-3.5354
"F58897",2.9874
"F63083",2.5739
"F39775",-3.4465
"F51650",-1.0493
"F22387",5.4583
"F44406",-0.6447
"F9878",-4.3243
"F51",1.4072
"F66893",0.5188
"F1475",3.7411
"F10301",1.442
"F31696",0.3697
"F48301",1.5943
"F26834",-2.7792
"F9879",-3.2409
"F50593",-2.7905
"F60451",0.6733
"F47055",1.4039
"F51551",-1.6707
"F42227",-3.631
"F16923",-2.2647
"F20052",-1.4283
"F1728",-2.3219
"F20669",-3.2778
"F51988",-1.6111
"F783",-1.1859
"F14167",2.4123
"F52882",-2.2315
"F793",-1.012
"F14043",-0.7714
"F9302",1.2043
"F7613",-1.6367
"F51620",-1.9925
"F54124",1.7529
"F8371",-1.8779
"F28828",1.7997
"F7852",-0.9317
"F50369",1.5853
"F15581",3.0042
"F40344",-1.7301
"F3450",-0.6178
"F16365",-1.7169
"F20084",-1.6689
"F32916",1.4015
"F52008",-1.7284
"F49987",-2.374
"F7569",-3.1546
"F60141",1.6162
"F52907",-0.6552
"F9975",2.6222
"F16076",2.2333
"F55013",5.3766
"F30644",-3.1391
"F27664",-2.8633
"F20336",-2.5643
"F798",-0.8237
"F27516",-2.5238
"F40019",-2.2169
"F8930",-1.667
"F3942",-1.881
"F15236",2.1101
"F15600",1.719
"F44153",-0.9624
"F52247",2.1774
"F8412",-2.0774
"F13883",3.0197
"F57055",-3.0276
"F899",-3.3914
"F13806",-2.45
"F42048",0.8078
"F49294",-1.9415
"F25162",-1.7321
"F51237",-5.5029
"F53436",2.8607
"F16003",2.393
"F46059",-1.048
"F1351",-2.3055
"F19643",-3.7932
"F12273",-2.0197
"F51192",-1.5973
"F2278",-1.6813
"F10148",-1.9035
"F23064",3.3272
"F846",-1.5723
"F36110",-3.1703
"F8091",1.5278
"F52507",-0.7347
"F8868",-1.4809
"F49263",-1.7709
"F3688",3.2747
"F46108",3.9915
"F54387",-2.6711
"F1171",-1.1209
"F7514",-0.832
"F57233",-2.5918
"F8528",-1.3795
"F20967",-3.4185
"F5668",-1.1261
"F25618",0.9807
"F31895",0.3597
"F44264",-0.7145
"F51784",-2.0724
"F1238",-2.2517
"F42779",-2.3567
"F20263",-0.9795
"F31963",0.3616
"F26116",-2.7903
"F6078",-2.9765
"F48132",0.859
"F26903",3.0837
"F47623",1.2426
"F23265",-4.1139
"F3444",-0.5237
"F8944",-1.4529
"F11049",-1.1858
"F24286",-2.921
"F26561",-3.1126
"F11038",-1.3936
"F38391",-4.2056
"F1631",-2.8669
"F26050",-2.963
"F48691",-2.4121
"F46039",-2.3915
"F20272",-3.4577
"F12126",-1.7294
"F42378",-1.5911
"F6105",-3.4911
"F17806",4.2999
"F28686",0.8741
"F4326",-0.7347
"F10317",-2.3548
"F6953",3.1336
"F2939",-2.0456
"F38162",-2.0104
"F3198",-1.0672
"F52161",-1.412
"F3001",-0.7297
"F7434",-2.4873
"F28927",2.6088
"F27073",-2.3268
"F3469",-2.2865
"F7915",-1.9557
"F39401",2.0084
"F56146",3.2616
"F11701",-0.9301
"F51809",-1.9893
"F546",-0.4435
"F49864",2.4528
"F52988",-2.2918
"F9761",-2.0466
"F10615",-1.9456
"F22794",-3.2055
"F27301",-2.4557
"F14368",-1.3932
"F33296",-1.4381
"F43786",-1.2111
"F31858",0.363
"F28720",-4.3188
"F53127",-2.3984
"F25654",-3.0399
"F9523",1.6773
"F11072",1.6428
"F27988",-1.0251
"F12320",-1.2282
"F50831",-1.1449
"F12801",-1.339
"F24358",3.1351
"F45876",-2.7527
"F52866",2.9013
"F31890",0.3611
"F53578",-2.3961
"F4112",0.9644
"F42649",-2.7923
"F12612",-2.1501
"F31571",2.2351
"F16008",3.177
"F62335",2.6185
"F50399",-4.9126
"F23750",-1.3984
"F6873",-3.218
"F48755",-4.6063
"F11476",-2.8841
"F52228",-1.4329
"F16808",-3.2464
"F35769",-2.9423
"F3087",-2.5223
"F47867",-2.1508
"F50672",-3.2371
"F3085",-0.8137
"F26538",-2.3544
"F47780",-2.2286
"F26329",-3.1952
"F12151",0.3653
"F23068",-3.2757
"F1770",-2.1209
"F12268",-1.3234
"F43044",1.5087
"F1400",2.8786
"F14268",-1.8884
"F119",0.4562
"F9690",-3.9456
"F8280",-2.5731
"F9158",-4.4402
"F31869",0.3642
"F32903",-2.5483
"F61249",1.7266
"F44558",-0.849
"F1682",4.6602
"F18946",0.8333
"F11044",-2.4703
"F3006",-1.9225
"F4692",-3.2055
"F9031",1.0136
"F9143",-1.2402
"F60167",1.8646
"F10568",1.4093
"F9128",-1.6432
"F12403",-1.5995
"F14641",-2.7352
"F39676",-2.0814
"F9289",-2.9503
"F16006",3.082
"F50052",-2.3307
"F28883",-3.5802
"F45974",-2.1693
"F23308",-3.6745
"F655",-0.7017
"F1507",-3.7986
"F1802",-2.1997
"F42203",-1.5718
"F8322",-1.227
"F55367",0.6946
"F12040",2.1959
"F12443",-1.4783
"F29651",-3.2262
"F7504",2.3971
"F58522",1.0778
"F50700",-3.3484
"F24545",-0.9687
"F48061",-1.6302
"F31972",0.3772
"F7027",-1.3105
"F849",-3.3387
"F1791",-2.8505
"F6515",-2.5074
"F7323",2.0697
"F17613",2.4097
"F51733",-5.3961
"F1720",-1.8961
"F3324",-2.745
"F18201",2.796
"F47011",2.4911
"F32412",2.6446
"F32901",-2.4543
"F43397",-0.5293
"F8916",-1.2854
"F47102",0.4213
"F33083",-1.3992
"F10794",-1.1124
"F11079",-2.5363
"F7754",-0.718
"F12362",-4.5768
"F32452",-1.5743
"F33702",2.0833
"F1236",-1.0693
"F1485",-1.2279
"F27164",1.5599
"F53529",3.2264
"F10126",-1.2767
"F10878",-3.0485
"F3455",-1.2357
"F6698",1.1553
"F43187",-2.081
"F54968",0.7663
"F28459",1.086
"F46995",1.3399
"F16576",1.3074
"F5096",-1.4229
"F23966",-3.4475
"F63347",2.705
"F50065",-1.8505
"F54723",1.2057
"F5812",-0.8933
"F12329",-2.6516
"F14031",2.6168
"F53012",-0.9425
"F11684",-2.2311
"F47065",1.7589
"F23982",3.188
"F55882",2.3969
"F29917",2.216
"F12277",-3.0755
"F4960",-2.4651
"F49938",-3.7855
"F57970",1.4682
"F6584",-3.1994
"F49200",-2.0703
"F48027",-0.9602
"F41006",-2.6827
"F27105",-3.0898
"F52597",-1.0245
"F11100",-3.006
"F7395",4.2099
"F41655",-3.52
"F13638",-3.033
"F7700",-0.5516
"F50518",-1.5754
"F36580",-2.5213
"F46993",0.5948
"F8093",-2.3391
"F44819",-1.9448
"F18595",-3.0582
"F50631",-3.4569
"F37319",1.1683
"F45649",-1.9663
"F27884",3.2669
"F5511",-0.8275
"F9851",-1.028
"F47604",-2.3379
"F35763",-3.345
"F2059",2.4751
"F9881",-1.7404
"F52862",0.6447
"F42222",-3.0673
"F53264",-1.2212
"F12186",-1.3749
"F54639",1.6006
"F26413",-2.714
"F1365",2.9593
"F37143",-3.897
"F63621",2.6641
"F9681",-0.7914
"F11899",2.7557
"F5293",-2.9495
"F66822",2.9402
"F10498",-1.5717
"F20818",-3.9041
"F8941",-0.9559
"F10141",-1.8539
"F9316",-0.7963
"F44001",-1.257
"F29397",0.6998
"F60068",1.4477
"F38753",-2.5631
"F31745",-3.0155
"F51298",-2.0359
"F10684",1.4069
"F22956",-2.4914
"F36343",-1.6205
"F12521",-3.5528
"F11789",-4.199
"F10403",2.3715
"F22050",1.5965
"F61534",1.8621
"F8633",1.5464
"F2997",2.8745
"F15635",1.0546
"F1521",-3.052
"F9657",-1.0156
"F63810",2.5936
"F55905",4.3071
"F53025",3.9634
"F52971",-1.8764
"F44675",4.295
"F4352",-3.2377
"F2892",2.5978
"F9032",-2.1245
"F13030",-2.4908
"F30782",-3.8453
"F7246",1.6322
"F7756",-1.198
"F46075",-2.577
"F22784",0.7196
"F29684",2.2163
"F14480",-2.733
"F28217",-3.5469
"F38501",-0.666
"F14448",1.6696
"F66469",0.5088
"F31986",0.3538
"F1553",3.9524
"F7702",3.5357
"F50505",-2.6967
"F816",-1.7583
"F38837",-3.5185
"F3660",-2.96
"F45804",-2.46
"F55736",2.8184
"F50053",2.7085
"F4419",3.9715
"F28458",0.6837
"F4283",-1.1051
"F7933",-0.8158
"F20724",-3.1355
"F52700",-2.4267
"F27444",-2.7408
"F51619",-3.4132
"F56878",3.8416
"F30799",3.4123
"F52083",-2.3909
"F50044",1.4787
"F52032",2.8089
"F31946",0.3651
"F8324",-1.2959
"F4954",0.613
"F10666",1.2214
"F53708",-0.9626
"F43276",0.8733
"F39865",-0.9988
"F3860",-2.3708
"F54010",0.7648
"F41095",-4.7805
"F1891",-0.5425
"F50188",-2.142
"F9671",-5.1871
"F24078",-1.261
"F20475",3.3295
"F18119",-3.7081
"F52748",2.5145
"F22974",-1.4411
"F51097",-2.1894
"F61065",2.817
"F19301",-3.3771
"F53038",1.427
"F28074",-3.4596
"F52058",-0.8489
"F30952",-2.97
"F38470",-2.3043
"F8838",-0.8966
"F17930",0.3693
"F31763",0.9248
"F42654",-2.7837
"F23297",-3.3105
"F52017",-3.0651
"F30749",1.2627
"F51159",-1.789
"F37084",-2.5796
"F9427",-1.0842
"F3980",-0.801
"F41501",-2.3702
"F10589",-1.3792
"F47683",-2.714
"F5098",2.6462
"F31378",-3.9843
"F48515",-3.0896
"F8753",-1.0771
"F2574",2.4473
"F27415",-2.3819
"F18646",-1.6399
"F28895",1.7301
"F12944",-3.0989
"F44588",2.0201
"F17731",3.2185
"F6932",0.427
"F723",-4.9577
"F58117",-4.1638
"F53239",-0.8737
"F14581",-1.9442
"F56295",-2.1555
"F11944",0.853
"F31714",1.0287
"F51404",-3.6781
"F39051",-1.8355
"F51443",-2.9842
"F39142",-0.6655
"F18025",2.5052
"F6194",-1.1653
"F52456",-1.326
"F5010",-2.2854
"F51706",-0.8624
"F8799",-0.4887
"F10592",2.1609
"F62452",-4.7812
"F57275",-3.5967
"F24548",0.9076
"F22939",-1.5011
"F1822",-0.9758
"F60186",1.3466
"F23368",-2.326
"F49450",-3.341
"F50409",-0.8787
"F55040",3.0428
"F11480",2.3248
"F697",2.3512
"F40683",-3.5213
"F55155",2.9564
"F2629",-2.5986
"F11005",-1.058
"F59697",-3.4508
"F8935",-1.1599
"F23459",-0.6835
"F16487",0.556
"F21905",0.4031
"F646",-0.9901
"F39242",-2.7342
"F10669",-2.3245
"F8513",-1.8515
"F44155",3.4919
"F888",-3.4315
"F26925",-1.7775
"F35938",-2.9981
"F51527",-2.1287
"F5412",-2.7701
"F41125",1.6563
"F11000",-1.6835
"F33644",-0.6336
"F5779",-1.5191
"F44992",-1.4716
"F47249",-1.5853
"F60901",3.7771
"F6045",-3.3367
"F17793",0.3857
"F41351",-2.1751
"F60558",2.5924
"F9007",-1.6606
"F26148",-2.8542
"F4127",2.9176
"F27328",-1.2117
"F3704",3.0977
"F43741",-0.4354
"F62376",2.5134
"F51673",-1.5719
"F5474",-1.3892
"F24815",-3.7731
"F36210",-2.3523
"F51550",-1.7283
"F40658",-1.3353
"F17461",1.6431
"F52182",-1.4629
"F34256",-0.4749
"F21522",4.5148
"F8380",-0.6919
"F698",-1.3537
"F63358",2.6111
"F52714",-1.1174
"F5304",-0.8656
"F10324",-1.422
"F9800",1.5548
"F50422",1.6
"F23198",-2.6854
"F3700",-2.6322
"F7436",-1.9848
"F59084",2.7609
"F24492",0.5264
"F7044",-0.6889
"F7483",-2.5156
"F52027",-3.9242
"F21310",-1.2623
"F2511",-2.0862
"F63561",2.5286
"F9998",-2.6556
"F38995",-0.6238
"F23327",-1.8104
"F44272",-1.0611
"F52468",-1.4522
"F10032",-1.6733
"F25886",2.6584
"F35324",-2.0285
"F33078",-1.2925
"F10809",0.5714
"F53200",-1.2595
"F53841",-1.7041
"F42452",-2.4456
"F6291",-3.5559
"F62149",1.7752
"F8209",2.2877
"F51762",-2.4293
"F23240",-4.0575
"F3371",-2.5839
"F43217",3.1206
"F44631",-1.0326
"F12678",2.0556
"F46176",-2.537
"F52589",2.2796
"F12133",-2.4386
"F31771",0.4034
"F63129",2.2147
"F7765",0.9159
"F17462",-2.977
"F50353",-1.4406
"F9157",-1.3317
"F42484",-2.4081
"F9515",1.4982
"F16192",3.0194
"F41243",-3.4092
"F41962",-1.9128
"F12644",-3.2596
"F53241",-0.9293
"F42619",-0.8495
"F39406",3.2448
"F28538",0.6391
"F23456",-2.313
"F44016",-0.8799
"F39552",-1.0058
"F10469",-2.829
"F17658",0.5492
"F15748",2.5451
"F45710",-3.5915
"F8700",-2.0231
"F2890",1.0312
"F50140",-1.937
"F19012",-2.7558
"F43449",2.4641
"F47329",2.8303
"F28648",2.1154
"F40580",-3.3913
"F30648",1.0349
"F5853",-0.9232
"F585",-1.8039
"F42188",-3.2649
"F41987",-1.93
"F44242",2.6121
"F9438",-3.0575
"F38215",-5.5315
"F15571",1.7897
"F18026",-1.8262
"F6370",-3.6342
"F50521",3.1652
"F50737",-0.7234
"F53259",-1.3429
"F7651",-0.8393
"F51074",-0.8885
"F14416",-1.5527
"F11481",2.1313
"F11118",1.104
"F48861",-3.9973
"F31973",0.3621
"F51077",-1.1672
"F1356",-2.4303
"F5074",-1.8085
"F462",-3.4024
"F58620",-2.6423
"F27081",-3.2066
"F19991",-2.4654
"F3557",-1.5071
"F25969",-3.3429
"F948",2.0828
"F43698",-0.7953
"F53325",-0.7926
"F47059",1.1348
"F50703",-2.6291
"F52165",-2.3191
"F51732",-1.5871
"F53889",-2.9658
"F37599",4.6723
"F12323",-1.7686
"F37095",-2.6695
"F6595",-1.7987
"F29709",3.6238
"F31177",0.3497
"F8914",1.3085
"F57772",0.5161
"F8908",-1.4936
"F50115",-0.646
"F6600",-1.653
"F37504",-3.6145
"F63526",3.4349
"F2097",-0.2769
"F5923",-1.9057
"F42570",-2.7874
"F9759",2.2677
"F37217",2.7727
"F7726",-2.2182
"F21610",4.0176
"F4279",1.0432
"F51702",-2.9116
"F31936",0.3569
"F31983",0.3891
"F3924",-2.5498
"F47251",2.9597
"F1505",2.6148
"F54770",3.2595
"F11142",-2.315
"F1892",-2.1942
"F3873",0.4068
"F28418",-3.4098
"F50361",-1.445
"F2998",0.4838
"F24138",-5.119
"F34606",2.0568
"F12062",1.0702
"F44232",-0.7254
"F11531",-3.9454
"F30686",2.9232
"F31959",0.3596
"F45355",-1.7063
"F2899",-2.1723
"F1300",-3.6373
"F4265",-1.313
"F27713",-1.1121
"F2870",-2.0706
"F52697",-2.1358
"F52120",-0.945
"F5803",3.1723
"F402",-2.0658
"F46980",2.9129
"F50269",-1.8423
"F39493",-1.6627
"F27772",-0.9616
"F47998",-2.528
"F52140",-2.1022
"F4149",-1.944
"F35127",-1.8267
"F46619",4.7081
"F51231",-2.11
"F31927",0.3538
"F32980",1.8045
"F21966",-2.6238
"F8338",-2.1856
"F27419",-1.3536
"F36052",0.8584
"F21976",-2.2421
"F29890",-1.6186
"F11266",-3.3758
"F32620",0.5954
"F52638",2.5627
"F37741",3.1325
"F50428",-1.6198
"F62259",2.3494
"F47735",1.5316
"F3850",-2.996
"F1766",-1.6445
"F53301",-1.2608
"F8819",-1.3127
"F49031",-1.6876
"F7052",2.2365
"F51142",-0.5221
"F50337",0.9891
"F51102",-1.2172
"F52413",-3.4843
"F45315",-0.6103
"F25088",-4.109
"F52356",-1.5508
"F56863",1.8541
"F1020",-3.2939
"F10532",-2.3603
"F29240",2.8654
"F48282",-2.3712
"F16425",1.8976
"F4657",3.1555
"F4958",-2.3274
"F28184",-2.0747
"F52057",-1.159
"F12143",0.3536
"F2290",-1.9827
"F9198",-3.2435
"F12696",-1.6328
"F16337",0.8726
"F53972",-1.7959
"F50142",-1.8108
"F23723",-3.2184
"F52252",-2.0242
"F8442",-4.1201
"F53303",-1.1955
"F14711",-2.1064
"F28880",-1.5615
"F58297",-1.9518
"F15270",3.5823
"F28086",-3.9768
"F43195",-1.5955
"F53908",0.4757
"F15677",1.7038
"F28226",-2.3547
"F31855",0.3523
"F44210",-1.6821
"F31068",0.3637
"F41802",-1.1834
"F29057",-4.0068
"F47062",1.184
"F38398",-1.5854
"F44814",-2.5808
"F53077",-1.5797
"F31947",0.3535
"F53837",-1.9617
"F66998",0.475
"F22952",-2.3758
"F34496",-1.9462
"F8013",-0.9526
"F5003",2.2746
"F47392",-1.7782
"F864",-3.1609
"F11050",1.1301
"F35654",-3.5856
"F18974",-1.5393
"F38664",-2.1847
"F31786",0.4773
"F9030",-1.5806
"F23369",-3.0875
"F50047",-0.8063
"F52990",-2.2561
"F11663",-0.8565
"F16974",2.3523
"F56043",0.8103
"F14539",-0.8869
"F39068",-4.3218
"F43526",4.3563
"F21965",-3.7762
"F30898",0.4668
"F33935",-3.0653
"F5818",-2.0991
"F9952",-2.0893
"F55973",4.7226
"F4577",-0.6177
"F12303",-2.5692
"F10733",1.1478
"F53265",-1.5768
"F6747",2.247
"F46120",-2.4231
"F16915",0.4402
"F48770",-0.6639
"F34844",1.4147
"F3578",-0.6131
"F53055",-1.365
"F11935",0.4355
"F18829",-2.8383
"F32048",0.619
"F7764",1.4696
"F31985",0.3469
"F6970",1.0272
"F39945",-1.0953
"F10713",-1.4878
"F45495",2.9451
"F29102",-4.1256
"F43335",-2.1786
"F56350",-1.6792
"F53814",-3.8503
"F25799",-2.9139
"F3746",-1.3374
"F8967",-5.3148
"F23419",1.1491
"F56762",-1.616
"F49818",-2.3925
"F41930",-4.2172
"F12308",-1.5998
"F32115",0.719
"F10468",-2.0314
"F3574",2.4807
"F23499",-1.2483
"F26722",-2.5235
"F51026",-1.5509
"F38441",-2.8833
"F58716",-3.1723
"F43209",-2.083
"F41774",-1.7813
"F3130",-0.9493
"F49943",2.0376
"F49598",-3.9925
"F42060",-1.445
"F11614",-0.6504
"F21306",-2.6063
"F12271",-2.0399
"F15699",1.5859
"F20063",-2.9029
"F56078",1.037
"F40058",-2.5011
"F10591",3.7236
"F47602",-0.8693
"F1555",-4.0615
"F31874",0.3578
"F7571",-1.1205
"F16430",2.7938
"F52224",-1.0561
"F28395",3.5679
"F6794",1.5538
"F31918",0.3546
"F56601",2.5493
"F9751",-0.9477
"F7931",1.3872
"F2291",-4.0532
"F3254",-2.8677
"F47922",-1.5922
"F3858",-2.3991
"F5479",-1.6441
"F56356",1.2903
"F3677",2.2648
"F49298",-1.7017
"F2162",-2.0207
"F35027",-1.9649
"F22611",-1.0075
"F6516",-2.9423
"F19549",-3.1769
"F28006",-2.5856
"F54695",0.6974
"F30515",3.1156
"F60697",2.7012
"F57583",-1.5622
"F9057",-3.8324
"F3380",0.6495
"F11131",-2.8783
"F5805",-1.3252
"F31865",0.3546
"F1304",-1.1573
"F37208",3.2126
"F5505",-2.9692
"F9000",-1.0697
"F52657",-1.8222
"F32638",1.8736
"F50933",0.6462
"F31872",0.3491
"F32092",-1.2049
"F45664",-2.3794
"F8242",-1.8872
"F9825",-1.9636
"F17107",-2.3606
"F53969",-0.9888
"F44471",-0.6665
"F3301",-2.2785
"F49634",-5.2494
"F45123",-2.8693
"F46979",5.2423
"F53874",-1.4431
"F4810",-3.8115
"F1389",1.7942
"F4222",-1.9538
"F1411",-2.8954
"F11169",-2.8859
"F49762",-4.1367
"F28353",3.2399
"F50975",-4.312
"F51194",-2.5827
"F4358",-3.3087
"F10240",-3.4586
"F31463",1.0591
"F50228",-2.6312
"F55884",0.4368
"F62692",2.4627
"F52138",-2.9496
"F4583",-0.5353
"F59211",0.9192
"F3382",-2.1534
"F30213",2.1437
"F24746",-2.1382
"F20183",-3.2835
"F7572",-0.6953
"F10634",5.0285
"F26549",1.5155
"F52444",-1.6962
"F30204",-1.9695
"F5993",-1.1173
"F46972",2.5153
"F63622",2.4329
"F14534",-2.0293
"F31941",0.3506
"F7691",0.6631
"F56105",1.6752
"F28246",-2.6209
"F1626",-1.5593
"F15569",1.4692
"F36364",-1.2839
"F23396",-3.1938
"F31747",0.3455
"F9768",-1.0162
"F50155",-1.5096
"F12502",-1.4836
"F50255",-1.6374
"F94",0.5776
"F55228",3.3267
"F15681",2.4457
"F52994",-0.7078
"F21894",-1.7989
"F31945",0.3538
"F35924",-3.1625
"F120",0.4114
"F11088",2.6412
"F52663",-1.5739
"F7904",-1.0045
"F53940",-2.8732
"F8891",-2.0599
"F9665",0.3508
"F32225",-1.3873
"F2695",-1.6119
"F66421",1.9534
"F51597",-1.3268
"F38542",-0.8381
"F38974",3.3358
"F4972",-0.5635
"F2474",-1.1597
"F13625",-2.9026
"F27733",-2.9019
"F4786",-3.2703
"F12156",0.3726
"F28508",-1.5933
"F9170",-0.696
"F11577",-1.1227
"F52701",-1.6236
"F28726",-3.4582
"F7694",-1.0582
"F41835",1.8946
"F41063",-3.2081
"F28423",-2.3511
"F38794",-1.1832
"F37631",-2.7265
"F54864",3.752
"F41927",2.7006
"F51863",1.4966
"F52295",-1.8804
"F30642",-4.1479
"F41662",-2.3074
"F36279",2.0656
"F4259",-0.8353
"F8443",-1.2013
"F29531",1.8725
"F28227",-2.7531
"F43636",-2.2223
"F36317",-2.7126
"F10998",1.3717
"F42113",-1.9508
"F46917",0.8942
"F8361",-2.6396
"F56044",0.9148
"F2390",-0.354
"F6887",-1.371
"F11996",0.7035
"F46387",3.819
"F49279",-1.686
"F8325",-1.043
"F52679",-0.9126
"F26034",-2.8862
"F8074",-3.8388
"F10844",-2.8607
"F50943",-0.8362
"F59466",3.8262
"F5824",-1.9044
"F44870",-1.0408
"F97",0.5445
"F2467",1.963
"F56216",-2.5028
"F7232",1.8782
"F16154",2.896
"F23390",1.9842
"F8999",-1.8106
"F29667",-4.0385
"F7968",-0.9432
"F31935",0.3503
"F10991",-1.7856
"F24846",0.7413
"F4364",-0.9323
"F752",2.9591
"F17372",-2.9611
"F12093",0.3133
"F22499",-2.515
"F27924",-2.6908
"F47477",-1.523
"F55957",-4.0953
"F51861",-2.1722
"F47259",0.6255
"F15052",-1.6857
"F59372",2.054
"F50177",-2.0453
"F4239",-0.4288
"F11949",0.609
"F41972",-1.3734
"F15653",-2.231
"F34951",-2.5591
"F3009",-1.8992
"F29650",-2.4755
"F36220",-4.1391
"F2386",-1.0081
"F46155",-0.8472
"F9382",3.5931
"F46988",2.0524
"F49823",-1.6765
"F31862",0.3459
"F12015",-2.608
"F48947",-4.1417
"F15168",-1.9329
"F994",-2.436
"F29647",0.7271
"F41214",-2.6424
"F47831",-1.4693
"F27512",-2.1725
"F30160",-3.5924
"F15740",2.9599
"F2692",1.3528
"F1909",-1.7933
"F1440",-2.4681
"F53052",-1.9004
"F18388",-3.186
"F49567",-2.1877
"F16880",0.7349
"F1953",-2.1481
"F9424",-3.6858
"F53292",-0.913
"F277",-0.578
"F53056",2.3654
"F52626",-2.1461
"F9678",1.7841
"F29294",1.9083
"F60751",2.9709
"F8993",1.8256
"F6670",-2.0496
"F29792",-3.1121
"F2416",1.2014
"F41638",1.4935
"F51920",-2.6465
"F1125",-1.6049
"F63473",2.3916
"F11594",0.93
"F21973",-2.388
"F62907",1.8938
"F45393",-1.6507
"F9668",-2.3294
"F665",-1.9227
"F17542",-1.0894
"F6922",-2.8957
"F33067",-3.6904
"F1900",-1.6313
"F22995",1.7911
"F7984",-0.6535
"F46022",-2.9856
"F38588",-2.8463
"F8837",-3.9835
"F2868",2.3433
"F30454",0.371
"F27852",-0.9513
"F10279",-1.6903
"F53973",-2.7274
"F20244",-1.8441
"F17718",2.2274
"F53223",-0.9937
"F39491",-3.2942
"F50645",-0.539
"F27259",-1.5755
"F40406",-2.5455
"F28801",2.1453
"F27663",-1.7745
"F4098",0.5437
"F9349",-1.4715
"F31879",0.3473
"F28740",-1.0955
"F50429",-2.1404
"F28214",1.7916
"F37204",4.2248
"F45985",-2.3842
"F15576",2.0579
"F7666",-1.1888
"F46947",0.8264
"F11535",0.3661
"F21079",-1.4554
"F45584",-1.904
"F13070",-1.8394
"F16327",2.2405
"F51506",-0.927
"F67029",2.7123
"F28587",-3.1019
"F10905",-1.7538
"F2426",-2.4094
"F40207",-2.6593
"F8249",-2.9538
"F45676",-1.0945
"F50304",-3.6452
"F50917",-0.6808
"F2011",-0.9597
"F2147",-1.5717
"F26393",1.999
"F6929",0.7762
"F43880",-2.48
"F51921",-1.765
"F55717",4.0106
"F47873",-1.0019
"F10164",-1.8791
"F50034",-1.5301
"F43857",-1.2131
"F28502",-3.2859
"F9871",-1.3997
"F2918",-2.3102
"F60850",3.4
"F42064",-3.3126
"F5506",-1.2244
"F29152",-3.9048
"F58451",2.9427
"F55895",2.9677
"F34054",-2.8445
"F17169",-1.7269
"F26619",-1.7935
"F51627",2.2531
"F1681",-1.5268
"F50846",-3.0768
"F16976",0.6464
"F10455",-1.9521
"F34700",2.2311
"F39647",-3.1896
"F24225",1.7777
"F40827",-3.5017
"F26809",2.8186
"F44504",-0.991
"F56315",-1.4921
"F48212",2.1299
"F53399",0.7052
"F25273",-2.9439
"F12333",-1.8667
"F42069",-2.2075
"F50054",-2.572
"F30981",1.9993
"F29656",-2.7625
"F30343",-1.3486
"F27498",-2.5362
"F11263",0.6877
"F17466",0.3179
"F39587",-1.2099
"F18107",2.6176
"F28022",-1.1024
"F11495",0.3967
"F31759",0.3521
"F3492",-3.7502
"F53049",-0.6189
"F35341",-1.5694
"F47140",-1.4388
"F12863",-1.5513
"F12404",-1.8727
"F45925",-2.7132
"F12476",-1.6068
"F6621",-2.3324
"F11442",-0.599
"F10924",-2.5366
"F14788",-2.2559
"F14709",-1.9493
"F4983",-2.989
"F56444",-3.8646
"F521",-1.6256
"F41323",-1.5732
"F10175",2.2836
"F8683",1.2236
"F48706",-1.6644
"F10845",2.0888
"F31175",0.553
"F56921",-2.8703
"F43444",-2.7808
"F42077",-2.8186
"F25270",3.0989
"F28430",-1.9844
"F22610",-2.1928
"F9336",-0.7154
"F23073",-2.9159
"F47044",0.6728
"F47421",1.5062
"F10982",-2.629
"F16803",-1.9696
"F47219",0.8398
"F61345",2.859
"F29288",2.8738
"F5554",2.4263
"F9023",-1.7799
"F29365",2.2429
"F55289",-0.689
"F31256",1.9762
"F59437",1.8316
"F42355",-1.5168
"F23366",-3.0584
"F43787",-0.6299
"F1172",-3.358
"F1462",-1.0018
"F56063",-0.7929
"F54141",-0.7723
"F39427",-1.5171
"F33795",-3.2451
"F52123",-0.5767
"F2508",3.7151
"F31139",-3.1984
"F13445",2.1872
"F39979",-3.2551
"F65421",0.5374
"F11576",1.4171
"F49881",-2.5445
"F46757",1.6549
"F59149",2.3054
"F47523",-1.9774
"F30061",1.6133
"F39869",-1.903
