"","CD.dys"
"F35918",6.2849
"F49228",0.2518
"F1779",0.4703
"F7805",-0.9832
"F21266",-3.0035
"F3427",-1.1552
"F10661",-2.3901
"F40811",-3.7071
"F3476",-1.6471
"F20978",-2.973
"F16265",-1.0203
"F18372",-3.1775
"F8500",-2.8887
"F3954",-1.6683
"F7101",-0.3818
"F51143",-3.4354
"F3439",-1.4001
"F11628",0.3541
"F50162",-1.3761
"F7532",-2.2532
"F4311",-0.7141
"F24368",1.1898
"F34754",-2.3333
"F123",0.3307
"F11109",-1.6373
"F6761",-3.4572
"F55655",-3.3698
"F4562",-1.0009
"F5697",-0.8168
"F6272",2.0445
"F41961",-6.4972
"F20938",-0.927
"F2415",1.867
"F23350",-1.1963
"F23885",-1.8043
"F49117",-4.8382
"F28387",-2.2144
"F10411",0.2186
"F8446",-2.6267
"F44380",-0.6345
"F48636",-3.8385
"F50026",0.423
"F5667",-4.0661
"F25412",0.6552
"F45148",-4.6067
"F11510",0.2292
"F10930",-3.0329
"F17883",-1.5322
"F23062",-1.0218
"F57430",-5.645
"F43988",-3.0414
"F24901",-4.4986
"F44206",-1.6657
"F16437",3.7943
"F19954",3.2643
"F21869",-1.5864
"F26913",-5.5056
"F38723",1.0521
"F4012",-5.4179
"F55058",-4.7852
"F25564",-4.3512
"F22546",-2.0976
"F57503",-4.4546
"F7637",-1.2488
"F9948",-1.5583
"F51901",0.2187
"F15746",-3.2346
"F50784",0.3188
"F9685",-3.1678
"F25848",-2.2188
"F1770",1.6315
"F24755",-0.759
"F14776",-2.0014
"F4995",-3.7129
"F6013",-1.9979
"F50602",-1.6304
"F32186",0.1073
"F25984",-3.2045
"F11735",0.3467
"F50351",-1.3959
"F36407",-3.0079
"F61814",-3.1589
"F20478",-2.3685
"F1797",4.2613
"F55370",-2.8685
"F38374",-3.877
"F20166",2.0807
"F19314",-3.4162
"F8513",-1.8806
"F23819",-1.8473
"F3771",-3.9924
"F23009",-4.2237
"F7600",-0.5134
"F52978",1.38
"F16277",-1.8361
"F5892",-2.6513
"F48387",-3.9225
"F3189",-1.6016
"F19470",-2.3276
"F6589",-4.691
"F32073",-0.5676
"F7299",-0.8984
"F52111",-2.4037
"F16468",-2.4325
"F7407",-2.1119
"F48514",-2.5935
"F7043",1.6928
"F43736",-3.203
"F6065",-3.3882
"F7940",0.5167
"F9073",1.6113
"F11859",-1.4983
"F7603",-1.4786
"F54043",-2.5468
"F27465",-2.5428
"F40745",4.5258
"F25986",-2.8883
"F31852",0.4661
"F5968",-4.5446
"F21320",-3.0216
"F44909",1.6109
"F36270",-1.8641
"F6762",-1.1903
"F36247",-2.9716
"F54496",1.1436
"F41080",-3.6321
"F49359",-2.7512
"F52651",-2.1207
"F8681",-1.95
"F8265",3.7763
"F25933",-2.3537
"F27778",-1.8191
"F10805",0.3279
"F5099",-0.958
"F9529",-1.1486
"F56507",-3.0975
"F4867",3.8038
"F1741",4.7109
"F15833",-3.1164
"F10429",0.358
"F42188",-3.2342
"F1404",2.5355
"F44395",-1.3024
"F7763",-2.6412
"F3198",-1.0834
"F50794",2.6532
"F20951",-4.8422
"F23377",-3.3054
"F4201",1.9662
"F45315",-1.4111
"F16105",4.9101
"F3450",-1.0284
"F24900",-4.4728
"F11398",0.2622
"F11203",-2.5
"F11624",0.3495
"F20275",-1.2945
"F5934",-2.3163
"F60496",-6.466
"F23290",-1.4783
"F39165",1.8153
"F52797",-1.8715
"F2114",1.6775
"F7424",-3.1772
"F46022",-3.1476
"F33169",-3.6272
"F4632",-1.1409
"F34423",0.5571
"F42357",-5.5973
"F48188",1.0182
"F3294",-2.4363
"F47112",3.6625
"F40838",-3.1493
"F34516",-0.2968
"F42451",-3.7122
"F4785",-4.0289
"F38921",-1.5904
"F4601",-1.258
"F5094",-4.867
"F17819",-2.7739
"F55449",-1.6119
"F8707",-1.0646
"F35993",-2.0616
"F48317",0.8393
"F28376",-3.8305
"F6982",-1.6517
"F56148",-1.8302
"F58117",-4.6289
"F23765",-0.7931
"F53201",-2.713
"F4466",0.5418
"F27452",-4.3318
"F42661",-2.254
"F2745",-1.7712
"F21035",-4.8008
"F11457",0.3611
"F100",0.9329
"F25794",-3.5027
"F54859",-3.5329
"F7934",-0.7599
"F56006",4.7584
"F56729",2.1299
"F28213",-2.0839
"F53724",-2.9611
"F3752",0.3519
"F27657",-5.4053
"F1972",2.5664
"F1783",3.1147
"F37488",0.9132
"F4305",0.6857
"F35843",4.4114
"F57111",1.8539
"F53153",-4.3787
"F46089",-1.9231
"F35699",-1.3643
"F45209",0.2741
"F3099",-1.0973
"F37117",-1.8851
"F36293",-3.3004
"F10881",0.9861
"F13373",-5.8621
"F4872",-1.874
"F51779",1.487
"F8388",4.7533
"F23463",-0.5266
"F8700",-2.5653
"F54932",0.2614
"F3004",-3.3736
"F8323",-1.0078
"F28730",4.082
"F47086",0.2097
"F21362",-3.0998
"F37084",-3.5415
"F3279",-3.3728
"F33557",-0.8156
"F44748",-3.6353
"F16207",-3.3628
"F6248",1.2962
"F43376",0.1808
"F35740",-4.1957
"F16209",2.7341
"F35227",-3.0976
"F26555",-3.2479
"F9438",-3.8069
"F7087",-0.9978
"F60363",0.3708
"F41200",-3.351
"F1077",3.3116
"F12548",-3.2229
"F33277",-2.5804
"F7014",-1.783
"F7074",-4.0416
"F49253",-2.5839
"F49477",-2.0251
"F7738",-2.4357
"F32169",0.2313
"F5205",0.3018
"F9369",-1.6937
"F7547",-3.4988
"F11411",-5.1799
"F50510",2.1227
"F8263",0.4718
"F26064",-2.4045
"F7493",-2.4488
"F5979",1.5986
"F64747",3.5637
"F3686",0.3486
"F17827",-1.7456
"F8141",-2.9535
"F7147",-2.5199
"F59340",2.8332
"F2790",0.3286
"F42394",-2.9034
"F35632",0.8774
"F4298",-2.4324
"F20878",-1.8521
"F8256",-3.9434
"F25347",-4.2065
"F35258",-2.972
"F20121",-2.1461
"F36776",-3.3548
"F3736",0.8169
"F8266",-3.0282
"F21844",-2.6178
"F41882",-2.2866
"F32971",-4.2585
"F35876",-3.1191
"F42807",4.3516
"F35158",-3.6907
"F10842",-2.8411
"F74",1.425
"F747",3.2153
"F8620",-3.8409
"F53844",-0.4208
"F39948",-1.4521
"F9247",-1.0407
"F3412",0.3906
"F4910",-3.4671
"F24375",-1.7206
"F3792",0.3567
"F34495",-3.343
"F10194",-1.5486
"F28740",-1.4921
"F5784",-1.3409
"F39076",-2.1381
"F41120",-3.4885
"F50713",-1.0723
"F47988",0.3546
"F9918",-3.0336
"F8124",-2.5309
"F10220",-1.919
"F5828",3.3109
"F7214",-6.8552
"F8258",-2.6887
"F8829",3.5046
"F2762",-0.8606
"F5412",3.4706
"F38817",-2.9252
"F41951",-3.9092
"F51741",-3.5166
"F54314",-2.1128
"F38650",-2.4175
"F27548",-2.9205
"F48661",-5.2319
"F11776",0.3212
"F53390",-1.0571
"F5950",-1.9611
"F3545",-2.0581
"F51014",2.1093
"F50711",-0.5912
"F9953",-0.8505
"F44557",4.2153
"F6269",2.4429
"F6576",-1.6462
"F50256",-2.3278
"F29491",-4.1681
"F44192",3.4193
"F56787",2.2469
"F9471",2.0682
"F593",1.768
"F6781",-2.1244
"F8539",-2.9849
"F4023",-4.6148
"F9437",-1.5942
"F29186",-5.1739
"F6800",-1.3064
"F26382",-2.6658
"F12497",-6.1191
"F33362",-2.4059
"F23822",-2.2811
"F52346",3.0913
"F8228",3.1157
"F20996",-2.2733
"F33690",-1.6016
"F57363",3.8896
"F50204",-1.5809
"F3080",-2.9674
"F4114",-1.824
"F6348",-1.4046
"F38015",-3.4519
"F27451",-1.1691
"F11089",0.5226
"F2779",-2.2155
"F44870",-0.9699
"F52214",-1.6938
"F3314",-0.6862
"F28619",-3.6691
"F44479",-0.7501
"F51762",-3.2078
"F41545",3.265
"F5534",1.3348
"F17327",-2.5528
"F12521",-4.5755
"F32203",0.2071
"F47095",0.2007
"F8104",-2.8639
"F27429",-1.1252
"F10191",-3.2417
"F44793",0.7811
"F56419",-1.5792
"F24258",5.5768
"F11298",-8.0014
"F54840",-4.0321
"F54976",-2.6106
"F17806",5.721
"F20484",-3.7366
"F6380",-1.1863
"F29662",-0.8241
"F11605",1.0316
"F36463",-1.2328
"F8088",0.8296
"F348",3.4623
"F55132",-3.2712
"F63783",-2.6515
"F42380",-8.8971
"F16022",-4.124
"F37865",-2.9657
"F50635",-3.907
"F44471",-0.8444
"F33144",-2.2937
"F22728",-1.5341
"F4464",-2.8104
"F2486",1.2281
"F51230",-0.3892
"F39550",-3.8987
"F40528",-0.7282
"F54393",-4.2214
"F49329",-0.5922
"F23787",3.74
"F2766",-3.1478
"F48835",-1.4479
"F41449",-2.5836
"F26080",-5.5193
"F3696",-2.6953
"F13768",-2.3151
"F16928",-1.4065
"F9399",0.866
"F2035",2.032
"F7026",-0.9314
"F4845",1.5792
"F25238",-2.6049
"F4761",-2.834
"F9683",4.7549
"F9692",-4.7107
"F10891",-1.9317
"F9178",-2.2528
"F34351",-2.095
"F41848",-2.1776
"F9139",-5.4611
"F20526",-3.6484
"F27177",-4.4865
"F34356",-1.7314
"F10529",0.3798
"F15887",-3.0016
"F48910",-2.8961
"F55499",-0.6332
"F11816",0.3602
"F8151",-1.8632
"F29915",-3.1811
"F4666",-1.9845
"F43102",-3.2008
"F49425",3.3731
"F51887",4.6568
"F46568",0.0839
"F44866",-1.5651
"F6460",3.8303
"F28925",-4.2229
"F61073",-2.8798
"F508",-3.1162
"F62112",-1.3238
"F7740",-2.3946
"F13516",4.145
"F54630",-3.4757
"F4739",1.4077
"F50846",-4.0596
"F45930",-3.1143
"F49437",-0.2583
"F3219",-2.0634
"F51081",2.2372
"F40378",-3.7307
"F4331",-2.0227
"F10512",1.7643
"F52533",-2.0416
"F61770",-0.9597
"F1636",6.0936
"F33955",-3.5924
"F41325",-3.6663
"F53649",0.8861
"F3614",-2.4578
"F10549",-6.664
"F5939",2.1191
"F6017",-2.3028
"F11322",-1.6788
"F25964",-1.6655
"F7977",-2.068
"F6957",-3.0528
"F10198",3.4525
"F23627",-0.5356
"F18316",-2.5509
"F3673",-3.4519
"F38655",-1.3015
"F5401",-0.7701
"F42840",-2.5583
"F49039",1.9212
"F35499",0.0485
"F7218",-1.4518
"F7757",1.1167
"F1633",3.3071
"F31282",-2.1848
"F11742",0.3019
"F47008",-0.9771
"F54448",0.921
"F54947",3.3868
"F38724",4.1871
"F17371",-1.9661
"F35449",-2.2482
"F13362",-2.8339
"F11831",0.6811
"F52252",-1.2425
"F36450",-3.3788
"F59000",-1.6878
"F5010",-2.8399
"F12325",-1.3819
"F11425",0.335
"F19418",-1.7452
"F5778",-1.2393
"F41622",-3.891
"F51842",-7.5931
"F54894",-1.6299
"F33102",-1.8344
"F61850",-1.5994
"F40875",1.008
"F2989",0.6763
"F52754",-0.8239
"F57717",-1.2691
"F7768",3.0337
"F10954",-1.9649
"F40450",-0.8614
"F6338",1.6765
"F45998",-2.7107
"F44065",-2.1623
"F6618",3.263
"F54009",0.3005
"F18104",-0.9467
"F3108",0.8698
"F7939",-2.2244
"F26270",-3.5524
"F51540",-1.7753
"F45792",-2.6946
"F53789",1.3162
"F1003",3.203
"F6931",-2.6673
"F44207",-1.0974
"F7264",-5.0927
"F41263",-2.7982
"F6096",-3.9181
"F4272",-1.0586
"F2047",3.6564
"F48109",-6.192
"F16581",-3.3819
"F4358",-4.4672
"F47950",-2.7011
"F49140",0.7356
"F5894",-0.0842
"F1109",2.015
"F1236",-0.1992
"F9511",-3.2012
"F4931",1.9206
"F45184",-2.5902
"F46565",0.0791
"F47024",-1.5255
"F37060",-3.292
"F7788",0.2785
"F29947",3.0694
"F61385",-2.3915
"F5547",-6.7571
"F9569",-1.6801
"F54738",-1.4977
"F6626",-4.7956
"F11130",0.4438
"F54983",-2.7394
"F29384",-3.5945
"F4760",5.5348
"F10205",-2.4661
"F21098",-4.95
"F54933",-0.8043
"F4063",-0.5631
"F12275",-1.8525
"F4823",-1.3559
"F32224",0.2379
"F44655",-1.7607
"F55534",-3.2581
"F44646",-0.5976
"F3280",-1.832
"F5866",-2.088
"F49492",-3.8971
"F9152",-3.9998
"F19472",-1.4773
"F16242",3.8763
"F21022",-3.8802
"F4558",-1.1425
"F55139",-1.0466
"F38280",-4.4327
"F23029",-3.2575
"F48782",0.9185
"F7497",-1.3758
"F58729",-3.3756
"F22846",-2.1906
"F26926",-2.4194
"F2497",1.035
"F7287",-3.3857
"F27009",-1.1048
"F6655",1.1579
"F2427",0.3902
"F6905",-0.8138
"F28115",-3.4618
"F42452",-2.8934
"F28325",4.3059
"F7483",-2.6281
"F47056",-4.4051
"F50506",-4.1523
"F50626",-3.7585
"F41629",-2.113
"F49109",-3.6502
"F55748",-1.0783
"F33851",-2.29
"F6829",-3.0002
"F20874",-1.2479
"F61953",-3.1679
"F19311",-1.8757
"F11553",-0.89
"F27415",-3.0147
"F27414",-1.6607
"F21406",-2.5879
"F16095",4.1584
"F16416",1.8601
"F50485",-2.3037
"F17458",4.9388
"F3855",-1.7569
"F45602",-1.1634
"F48589",-2.6726
"F9268",-1.6161
"F46990",-3.61
"F11514",0.2976
"F45417",-5.6666
"F47734",3.5796
"F50005",2.1696
"F1682",5.704
"F26799",-2.4954
"F17122",-1.9921
"F59659",-1.6918
"F44872",-4.5261
"F2285",-0.8989
"F41892",-3.4362
"F5891",-0.8481
"F34871",-1.4844
"F24831",0.6704
"F52954",-2.1843
"F30787",-3.9937
"F55116",-3.9454
"F17457",2.6142
"F8537",-2.6362
"F6644",-4.5586
"F23691",-3.4153
"F27122",-3.5259
"F28742",-2.2794
"F55510",-3.2873
"F29022",-2.5207
"F21762",-1.0693
"F18272",-1.874
"F8108",2.0186
"F2557",0.7844
"F5378",4.1724
"F5915",-1.1045
"F42069",-1.9915
"F17163",-1.5646
"F26658",2.8963
"F3593",-1.7907
"F46961",1.9421
"F22812",-0.7875
"F10014",-3.4349
"F4602",-0.4478
"F38673",-4.288
"F34281",-3.2777
"F56093",-1.6074
"F11670",0.3509
"F1452",4.0092
"F11095",1.696
"F10200",1.2236
"F2944",-1.0689
"F11197",-3.6307
"F10858",-2.8941
"F42382",-3.1892
"F15768",-2.5097
"F1930",2.3277
"F1341",4.1072
"F42172",-5.2033
"F46075",3.0206
"F45072",-3.156
"F3315",-1.5199
"F8226",-3.6383
"F2276",1.5749
"F10550",3.9991
"F4352",4.0325
"F7094",-0.8312
"F8628",0.6781
"F6974",1.0974
"F11083",0.5027
"F57499",3.0677
"F55641",-2.4614
"F3406",-5.9505
"F6450",-1.0736
"F59961",0.4092
"F10223",4.382
"F9611",-1.9608
"F850",-1.8407
"F44248",-5.0967
"F8229",1.6453
"F3672",-6.0119
"F15368",-5.0244
"F25878",-1.06
"F2256",4.484
"F17180",4.2765
"F34748",-2.523
"F1843",2.1413
"F5851",-2.5672
"F5074",-1.4062
"F8316",-2.1963
"F5068",-3.8582
"F36516",-3.0904
"F260",-0.4069
"F50975",-4.9034
"F54051",-3.3601
"F37996",-2.1734
"F2478",-3.9403
"F47544",-0.5672
"F24459",-2.9576
"F39486",-2.289
"F53566",-2.6251
"F7265",1.8225
"F54725",-4.1811
"F5116",-1.2483
"F2337",-2.0153
"F23568",-2.9083
"F20261",-1.665
"F47101",-7.0347
"F11348",-1.0538
"F39800",-1.9262
"F83",1.6109
"F8663",-1.7824
"F9280",-1.46
"F49105",-2.5676
"F39427",-1.6753
"F34227",-2.207
"F39340",-3.5667
"F3019",0.3499
"F23244",-2.8012
"F4300",-2.9301
"F5580",4.0245
"F19038",-2.0619
"F54685",0.626
"F43965",-1.5764
"F20402",-1.8245
"F17476",-1.8585
"F9319",1.5421
"F10679",-3.9936
"F4826",4.597
"F45053",-2.6136
"F6547",-2.794
"F55060",2.4851
"F6586",-3.0425
"F18645",-2.883
"F5760",1.7641
"F727",0.8197
"F48586",-3.1353
"F36965",-2.3446
"F1265",-3.5769
"F8169",2.5913
"F54117",-2.8843
"F2715",-1.9517
"F50111",-0.5042
"F15222",-2.7948
"F51844",-1.1051
"F59622",-2.4487
"F8191",2.9752
"F13926",-2.5629
"F2094",2.0559
"F9613",-5.6879
"F54015",0.8863
"F48850",-3.6123
"F48159",-2.5452
"F21245",-2.7709
"F42938",3.6333
"F60922",-4.2328
"F18193",-2.1935
"F13023",-2.5481
"F48605",-3.0663
"F16432",-2.6341
"F23884",-2.3476
"F42904",-2.0066
"F20904",-0.5737
"F30135",-3.3216
"F50759",-0.8764
"F6617",-0.9566
"F5672",-0.8497
"F13567",-3.9201
"F50532",-3.1497
"F19543",-2.1897
"F2600",0.3852
"F37262",1.7245
"F12573",-1.3711
"F4088",-4.1754
"F13612",-3.7251
"F32017",-6.4579
"F42887",-3.4991
"F52631",1.5728
"F39704",-3.0901
"F5096",-1.6278
"F48215",0.1807
"F54553",-3.9412
"F5243",-1.4362
"F18717",-4.2068
"F52357",-0.9129
"F42431",-1.512
"F19214",-1.8436
"F2527",-4.1952
"F9537",-3.3721
"F8744",-0.5423
"F1744",3.1648
"F7321",-0.9078
"F16720",-4.179
"F4005",-2.4543
"F53476",-1.9723
"F9035",0.2662
"F28035",-5.1811
"F35493",-4.4974
"F23243",-2.3871
"F52819",0.8791
"F44597",4.3802
"F20740",-3.5924
"F24373",2.3297
"F10385",-2.9805
"F23959",-0.9902
"F40057",-5.3827
"F48475",-1.6871
"F5816",-0.7927
"F36769",-1.475
"F21653",-2.1552
"F54530",-3.9522
"F4403",6.632
"F23152",-1.8266
"F7794",-1.0464
"F8302",-1.6644
"F49935",-2.2043
"F16268",-2.1596
"F10488",-1.4674
"F39060",-2.2754
"F3703",-2.2546
"F17302",-3.5433
"F23750",-1.2147
"F38296",-5.3994
"F43839",-3.2746
"F7851",-2.7478
"F53216",-2.0019
"F47006",-5.6515
"F6553",-0.6665
"F45791",-3.8218
"F4424",-0.7528
"F52402",3.3005
"F23803",2.8997
"F25481",3.3537
"F22954",-0.7498
"F4589",-4.5048
"F52969",-3.1722
"F10456",2.8177
"F6262",-5.8664
"F26552",-4.3208
"F44000",-2.9448
"F44418",-3.0354
"F22462",-2.6477
"F10809",0.4618
"F38411",-0.4294
"F56635",3.7857
"F54193",-4.8301
"F5518",-1.666
"F50739",-0.5391
"F56897",-1.2806
"F55594",3.215
"F3009",-2.2816
"F9085",-3.0044
"F17249",-2.1264
"F49286",-2.0786
"F3728",0.2252
"F37767",-1.1486
"F47348",-2.9822
"F3892",-0.7888
"F7248",-5.8617
"F20316",-0.4892
"F50682",0.7141
"F36814",2.9895
"F26383",-2.1994
"F9281",0.7184
"F3732",0.927
"F49567",-2.4963
"F19318",-2.3645
"F24516",-2.7963
"F24471",-3.7596
"F9566",-5.2266
"F46021",0.3929
"F38791",-3.3294
"F51213",-1.697
"F41911",-3.8048
"F49184",-0.4356
"F7112",-3.6195
"F60299",0.3657
"F25774",-1.3818
"F2721",-2.7167
"F45309",-2.8893
"F35423",-2.0175
"F7787",2.0105
"F9667",-2.6912
"F22484",-3.3362
"F9260",-1.5537
"F46980",2.6314
"F60767",5.2377
"F20800",-2.8399
"F42443",-3.6913
"F7722",-1.3371
"F6723",-2.1556
"F14425",-5.2527
"F35356",-2.214
"F8712",1.1917
"F53516",-2.4989
"F4344",-4.435
"F6107",-4.4199
"F6756",-1.4511
"F23867",-1.2313
"F61100",-3.6692
"F23146",-2.0604
"F7745",-2.8231
"F48289",0.469
"F42980",1.9406
"F26266",-1.0653
"F59644",-1.1698
"F3470",-2.5039
"F3963",0.448
"F23796",-1.3999
"F39903",-3.8331
"F3030",2.3402
"F10350",-2.6706
"F60036",-3.3871
"F11840",0.4429
"F6178",-1.7896
"F28702",0.722
"F23313",-4.7654
"F27610",1.1753
"F50527",-1.3447
"F10928",0.3843
"F49570",-1.6786
"F8147",0.1849
"F7296",-2.1042
"F7246",-2.1538
"F11511",0.2445
"F41788",-2.0528
"F30526",-5.458
"F15047",-2.3279
"F11189",-3.5452
"F58267",2.8868
"F37317",-3.4509
"F9337",-2.2179
"F21131",-3.0554
"F5177",-1.1056
"F50020",-0.8213
"F28962",-3.3652
"F47195",-4.1307
"F11156",0.458
"F9227",-1.9438
"F48208",0.177
"F23638",-2.4544
"F8440",1.0336
"F4083",-1.5552
"F42669",2.1822
"F44309",-0.9652
"F21125",-1.0765
"F3604",-0.9978
"F39224",-0.4854
"F43402",4.7657
"F51571",-5.2534
"F10132",-2.8389
"F48722",-2.3054
"F53101",-1.7772
"F21249",-3.2233
"F16007",-2.1909
"F18529",-2.655
"F32154",0.1053
"F36907",-2.6264
"F390",1.7162
"F6891",-1.3373
"F48356",-0.663
"F4291",7.7328
"F17899",-3.3359
"F55506",4.288
"F8075",-2.6227
"F28955",4.5889
"F2508",5.7792
"F44564",3.1935
"F7924",-1.956
"F21777",-0.8528
"F15428",-2.7962
"F41977",-2.0105
"F9051",-6.911
"F53550",2.6318
"F29517",-2.504
"F972",1.6834
"F8070",-2.4826
"F7025",0.6088
"F42969",2.8698
"F19777",0.8644
"F45201",-2.7851
"F9671",-7.0877
"F44803",-1.5493
"F5543",-6.8592
"F27081",-3.2682
"F51495",-1.7622
"F20843",-4.3975
"F9812",-2.8944
"F7356",-3.6101
"F3373",0.3203
"F4372",2.6755
"F4564",-1.2904
"F51870",-3.0973
"F46054",-2.4131
"F766",4.6526
"F45426",-2.1703
"F49990",-3.709
"F2325",-2.1446
"F58851",-2.7102
"F49760",-3.3428
"F21873",-0.7555
"F11333",0.1749
"F23702",-2.8493
"F48983",-2.5662
"F26924",-3.5458
"F6432",-1.2927
"F19537",-2.8687
"F44480",-4.2716
"F8337",-0.9099
"F11736",-3.301
"F13840",-4.7551
"F4610",2.8165
"F8056",-1.5678
"F3282",-0.6851
"F37892",-3.7483
"F48552",-2.0621
"F57508",-4.3143
"F22965",-2.3714
"F43633",-2.0634
"F9820",1.1166
"F15037",-3.8243
"F36960",-1.8312
"F39431",-2.5619
"F34508",-1.155
"F35127",-3.1816
"F44014",-1.7189
"F18459",-2.2199
"F51459",-1.429
"F35129",-2.3355
"F56850",-2.2107
"F51059",-4.3249
"F5947",-2.3044
"F46110",-3.5261
"F52074",-1.1786
"F23396",-2.9517
"F23003",-2.4927
"F48436",0.1418
"F56267",0.4939
"F21213",-0.3071
"F18994",-1.2849
"F47463",0.887
"F46588",0.2573
"F51616",2.3033
"F2615",-1.6534
"F16424",-2.5319
"F5100",-0.7307
"F10689",2.826
"F1022",3.7359
"F3779",-2.6429
"F4363",-0.73
"F50610",-2.5189
"F21733",-2.912
"F11748",-5.4038
"F49289",-1.9177
"F5488",3.1962
"F47922",-2.3879
"F3913",-2.6978
"F44855",-4.0171
"F605",0.5641
"F1462",-1.4262
"F23475",-2.6402
"F18740",-2.9128
"F54391",-1.8263
"F59496",-2.3281
"F23159",-2.0597
"F31803",-6.4215
"F34494",-3.2855
"F58807",-1.1961
"F55334",-2.6381
"F59257",-2.0137
"F50840",-3.107
"F11606",0.3413
"F51365",-1.1457
"F33650",-1.5509
"F35218",-3.7364
"F61653",-1.6012
"F31246",-4.3737
"F37478",-4.4797
"F9732",2.0191
"F16548",-3.3475
"F57693",2.256
"F40666",-5.5542
"F10111",0.3438
"F3506",-2.2058
"F40889",-2.9712
"F4655",0.7764
"F25992",3.3604
"F42097",1.5261
"F17603",-2.0664
"F40656",-3.191
"F53996",-4.8265
"F41543",2.9168
"F55064",-1.6807
"F9270",1.1799
"F33245",1.6193
"F49224",-2.9945
"F42468",0.6933
"F18624",-1.3836
"F26409",-3.8065
"F27348",-2.1422
"F4472",-4.6565
"F55091",-6.2114
"F666",0.8241
"F28928",1.347
"F7529",-1.2924
"F21064",-2.2815
"F19742",-3.7436
"F36746",-2.6259
"F2680",-1.9682
"F48812",1.6007
"F13986",-3.0053
"F46128",-3.9032
"F8445",0.7469
"F43596",2.5697
"F2657",-3.6691
"F9236",-6.3072
"F36058",-3.2231
"F55372",-0.454
"F5092",-2.1415
"F33046",-1.7324
"F57604",-2.3247
"F47151",-4.6319
"F17820",-1.4961
"F28534",-3.7771
"F32964",-1.2528
"F46208",-2.7051
"F24141",2.5069
"F3501",-3.9598
"F6284",1.3176
"F29116",-4.4223
"F41928",-3.2704
"F22853",-3.4438
"F26015",2.848
"F39399",-4.0865
"F24775",0.8994
"F51914",-1.9735
"F32359",2.3174
"F34544",-2.6488
"F232",3.2425
"F15958",-1.2914
"F3884",0.5657
"F46157",-3.9816
"F48035",0.2485
"F7162",0.7192
"F4694",-0.203
"F24272",-3.0393
"F11852",0.455
"F24548",0.8784
"F32476",4.0342
"F44806",1.2288
"F55115",-1.9006
"F4885",4.5327
"F6692",-1.0434
"F23554",-3.0934
"F26189",-2.8586
"F34959",4.9223
"F35214",-3.5759
"F17368",-1.5862
"F9157",-1.3077
"F38546",-3.3574
"F10211",-0.7658
"F1280",3.6359
"F8271",-1.428
"F36241",-3.6965
"F3423",-0.4954
"F30642",-4.8515
"F53345",4.6619
"F28656",4.1951
"F33143",2.5763
"F5677",-2.1027
"F37137",-0.0112
"F7263",-0.932
"F39929",-3.7215
"F60713",0.9968
"F48985",-5.5112
"F43869",-2.8723
"F55884",-0.2636
"F30499",-2.6906
"F3369",-2.3462
"F61900",-3.2014
"F26672",-1.5607
"F7052",1.9469
"F8385",-0.8435
"F2953",0.972
"F17687",-2.7043
"F13067",-3.4339
"F5363",-0.8741
"F19295",-1.9901
"F11834",0.9639
"F41662",-2.7914
"F1030",1.0168
"F27456",-4.0787
"F55409",-3.8173
"F27723",-1.793
"F16476",-3.5664
"F17124",-1.7862
"F29928",-3.2138
"F4603",4.2999
"F27717",-2.5943
"F58183",3.7401
"F42286",1.6995
"F5817",-1.0001
"F26034",-3.3313
"F3117",-1.8477
"F4599",-3.0896
"F2755",-2.5717
"F55402",-2.1939
"F8114",-1.2968
"F50358",-2.2151
"F30783",-3.8633
"F4495",3.9623
"F8219",5.2428
"F53643",-2.3721
"F11829",-1.3018
"F14363",-2.7442
"F49539",-6.533
"F32176",0.1073
"F26911",0.8737
"F9668",-3.2525
"F48718",-3.3036
"F45779",-2.2919
"F20495",-2.9592
"F1214",3.109
"F3870",3.6803
"F10760",-2.0656
"F41123",-3.0053
"F24720",-2.148
"F16426",-1.5919
"F50959",-1.6338
"F23008",-2.0234
"F4837",-2.1912
"F14024",-1.9871
"F53450",-3.4712
"F12337",-2.7767
"F50659",-1.6273
"F6445",-1.9355
"F51421",2.3237
"F2461",-2.2612
"F6906",-1.2711
"F24501",-0.7524
"F6058",3.5129
"F52855",0.5184
"F49411",-3.4094
"F35887",2.3683
"F47634",1.9596
"F21959",-2.3723
"F44257",-0.889
"F9755",1.1544
"F5791",-1.5986
"F39095",-2.906
"F3055",-2.5588
"F7368",-3.7216
"F21034",-4.6178
"F23312",-2.2086
"F34856",-2.6473
"F23223",1.7857
"F41696",-4.3313
"F13658",-3.2539
"F23185",-2.7796
"F525",-2.4922
"F23308",-2.9464
"F2589",-2.769
"F34632",-1.2632
"F9780",1.631
"F43930",-1.2714
"F37406",-1.0948
"F6889",-3.5086
"F14416",-1.7218
"F6868",-2.7411
"F2965",-0.9994
"F11172",-1.3763
"F19413",-1.2102
"F8197",-3.3842
"F2293",-2.6403
"F10874",0.4739
"F40115",2.5902
"F57275",-5.8203
"F5469",0.3089
"F42075",-3.7929
"F10159",-2.3534
"F55440",-2.6918
"F4334",-2.7044
"F59642",1.9598
"F55384",-3.247
"F9282",-2.0715
"F26148",-3.425
"F21990",-1.9095
"F24860",-1.0264
"F24399",-3.3932
"F43636",-2.7308
"F1988",1.6932
"F23210",0.9139
"F7563",-2.6275
"F4199",-2.4848
"F24615",0.8671
"F10932",-4.2924
"F47442",2.4811
"F54820",-3.7051
"F27419",-1.915
