"","CD.dys"
"F27040",-5.4196
"F26231",-3.0366
"F20429",-2.5511
"F7428",-6.0287
"F50495",1.2353
"F52017",6.8546
"F10781",-6.011
"F44308",-3.7778
"F19719",-5.165
"F50439",1.6203
"F44351",-2.3138
"F11356",-4.5367
"F7332",-4.0247
"F7724",-3.5272
"F20130",-3.4989
"F51290",-1.1389
"F3321",-3.285
"F27971",-3.7628
"F20177",-4.6169
"F35030",-4.7361
"F30506",-2.7313
"F3254",-5.1349
"F39899",-7.0477
"F5998",2.4562
"F18461",-4.1811
"F2526",-3.5474
"F4831",5.8458
"F7435",-3.4233
"F8430",-1.4314
"F20025",-2.9164
"F26818",-8.3123
"F24893",-2.5332
"F53847",-7.5316
"F7330",-6.019
"F55282",1.485
"F6404",-3.6286
"F8551",-5.8549
"F5316",2.1832
"F5967",2.2796
"F4919",3.8877
"F29937",-4.1746
"F7429",-5.4302
"F48858",2.3382
"F12312",-5.1147
"F48878",3.9245
"F2629",-4.3814
"F8386",-4.1329
"F46944",3.8321
"F10044",-3.989
"F402",-4.6145
"F11631",-4.1384
"F4074",-7.6032
"F3013",-2.372
"F781",1.4024
"F50657",3.2142
"F9830",-5.3207
"F49665",-6.7512
"F53894",-4.7414
"F34833",-6.4076
"F55569",-1.782
"F52289",-2.4337
"F10909",-4.6738
"F23991",-6.1437
"F2060",-5.2135
"F49783",1.3043
"F29990",-7.2793
"F36112",-7.4278
"F36199",-3.7644
"F24890",-2.363
"F21127",-5.9571
"F38790",-4.7517
"F31181",-6.3587
"F10566",-6.4219
"F52",2.1897
"F9417",-1.9488
"F21135",-4.1784
"F43474",6.8036
"F26827",-6.0302
"F59140",-1.8525
"F7420",-4.0667
"F3707",-3.4231
"F11625",-2.9628
"F5657",-4.2929
"F530",1.6293
"F27655",-8.1704
"F10538",-3.9936
"F8425",-5.0037
"F54467",-5.055
"F2795",-6.0597
"F22883",-5.2594
"F21526",-5.1944
"F44563",-5.1311
"F9989",-5.1262
"F6549",-4.7535
"F6765",-4.0112
"F32058",-1.5461
"F27910",-6.537
"F47249",-4.0583
"F26990",-3.3394
"F46906",-0.969
"F26748",-3.7585
"F24363",-6.4599
"F55429",-4.528
"F35362",-5.3015
"F33433",-4.3257
"F40988",-3.7579
"F2087",3.3352
"F57230",1.3789
"F1823",2.155
"F50311",-1.2047
"F7862",4.5619
"F34359",-1.5083
"F4223",-1.9852
"F9096",-3.6394
"F44377",-2.3046
"F53497",1.4993
"F5794",2.2954
"F3355",-4.6152
"F2913",-4.221
"F36084",-6.7524
