"","feature","metadata","value","qvalue"
"F55097","F55097","diagnosis","UC",0.058632047769326
"F1667","F1667","diagnosis","UC",0.0586389803159381
"F59846","F59846","diagnosis","UC",0.0586808714207812
"F12469","F12469","diagnosis","UC",0.0586854582636373
"F43801","F43801","diagnosis","UC",0.0587287276995413
"F11203","F11203","diagnosis","UC",0.058758539787176
"F18945","F18945","diagnosis","UC",0.058758539787176
"F15824","F15824","diagnosis","UC",0.0587754483600732
"F46635","F46635","diagnosis","UC",0.0588052109147907
"F8953","F8953","diagnosis","UC",0.0588104516623329
"F6177","F6177","diagnosis","UC",0.0588497707662633
"F67143","F67143","diagnosis","UC",0.058850024070849
"F52645","F52645","diagnosis","UC",0.0588669314708954
"F5022","F5022","diagnosis","UC",0.0588881288977557
"F53641","F53641","diagnosis","UC",0.0588920004125333
"F23491","F23491","diagnosis","UC",0.0588920004125333
"F52785","F52785","diagnosis","UC",0.0589126272587972
"F7981","F7981","diagnosis","UC",0.0589166533376064
"F17464","F17464","diagnosis","UC",0.0589624308614857
"F47425","F47425","diagnosis","UC",0.0589887294347212
"F25860","F25860","diagnosis","UC",0.0589964360577085
"F31331","F31331","diagnosis","UC",0.0590345087717754
"F21125","F21125","diagnosis","UC",0.0590399728962179
"F2075","F2075","diagnosis","UC",0.059050570428237
"F53316","F53316","diagnosis","UC",0.0590923299957949
"F9027","F9027","diagnosis","UC",0.0590923299957949
"F51661","F51661","diagnosis","UC",0.0591134703688197
"F17667","F17667","diagnosis","UC",0.0591134703688197
"F52964","F52964","diagnosis","UC",0.0591134703688197
"F63991","F63991","diagnosis","UC",0.0591292545968236
"F10444","F10444","diagnosis","UC",0.0591292545968236
"F45813","F45813","diagnosis","UC",0.0591292545968236
"F47352","F47352","diagnosis","UC",0.0591603426417819
"F5145","F5145","diagnosis","UC",0.0591603426417819
"F48237","F48237","diagnosis","UC",0.0591700126825998
"F24954","F24954","diagnosis","UC",0.0592092459087282
"F6255","F6255","diagnosis","UC",0.0592092459087282
"F5823","F5823","diagnosis","UC",0.0592092459087282
"F11773","F11773","diagnosis","UC",0.059226914776767
"F9740","F9740","diagnosis","UC",0.059246625946095
"F12632","F12632","diagnosis","UC",0.0592919898347145
"F11957","F11957","diagnosis","UC",0.0592919898347145
"F5088","F5088","diagnosis","UC",0.0592952980566609
"F11335","F11335","diagnosis","UC",0.0593073043697935
"F49649","F49649","diagnosis","UC",0.0593073043697935
"F11695","F11695","diagnosis","UC",0.0593484874399955
"F53348","F53348","diagnosis","UC",0.0593484874399955
"F23145","F23145","diagnosis","UC",0.0593679270419756
"F39723","F39723","diagnosis","UC",0.0593679270419756
"F3947","F3947","diagnosis","UC",0.0593679270419756
"F23999","F23999","diagnosis","UC",0.0593679270419756
"F30557","F30557","diagnosis","UC",0.0593679270419756
"F32366","F32366","diagnosis","UC",0.0593688122369977
"F9213","F9213","diagnosis","UC",0.0593755214057242
"F29590","F29590","diagnosis","UC",0.059386246973455
"F43656","F43656","diagnosis","UC",0.0594258392000258
"F2261","F2261","diagnosis","UC",0.0594258392000258
"F36058","F36058","diagnosis","UC",0.0594313811583259
"F1676","F1676","diagnosis","UC",0.0594673755731935
"F45204","F45204","diagnosis","UC",0.059485700233438
"F8136","F8136","diagnosis","UC",0.0594892699252687
"F5143","F5143","diagnosis","UC",0.0594936202108803
"F4141","F4141","diagnosis","UC",0.0594944864831655
"F36298","F36298","diagnosis","UC",0.0594944864831655
"F47705","F47705","diagnosis","UC",0.0594944864831655
"F273","F273","diagnosis","UC",0.0594944864831655
"F27707","F27707","diagnosis","UC",0.0594944864831655
"F6630","F6630","diagnosis","UC",0.0595347242725251
"F41939","F41939","diagnosis","UC",0.0595583658740052
"F52902","F52902","diagnosis","UC",0.059608548317649
"F59560","F59560","diagnosis","UC",0.059608548317649
"F23588","F23588","diagnosis","UC",0.059608548317649
"F29037","F29037","diagnosis","UC",0.059608548317649
"F38949","F38949","diagnosis","UC",0.059608548317649
"F10726","F10726","diagnosis","UC",0.0596248352502004
"F11349","F11349","diagnosis","UC",0.0596275595277028
"F4015","F4015","diagnosis","UC",0.0596667231132606
"F5982","F5982","diagnosis","UC",0.0596667231132606
"F31027","F31027","diagnosis","UC",0.0596667231132606
"F31873","F31873","diagnosis","UC",0.0597168558597622
"F48942","F48942","diagnosis","UC",0.0597458615645329
"F491","F491","diagnosis","UC",0.0597458615645329
"F51646","F51646","diagnosis","UC",0.0597458615645329
"F12115","F12115","diagnosis","UC",0.0597588682470015
"F52176","F52176","diagnosis","UC",0.0597880180198733
"F29400","F29400","diagnosis","UC",0.0597880180198733
"F48360","F48360","diagnosis","UC",0.0597880180198733
"F21319","F21319","diagnosis","UC",0.0597880180198733
"F43287","F43287","diagnosis","UC",0.0598388205739339
"F3354","F3354","diagnosis","UC",0.0598438648024991
"F13218","F13218","diagnosis","UC",0.0598559125112783
"F12037","F12037","diagnosis","UC",0.0599168973290901
"F15900","F15900","diagnosis","UC",0.0599200197476249
"F50273","F50273","diagnosis","UC",0.0599455037619263
"F19394","F19394","diagnosis","UC",0.0599582183334984
"F42252","F42252","diagnosis","UC",0.0599582183334984
"F15820","F15820","diagnosis","UC",0.0599701285878275
"F11887","F11887","diagnosis","UC",0.0599701285878275
"F10954","F10954","diagnosis","UC",0.0599701285878275
"F20055","F20055","diagnosis","UC",0.0599701285878275
"F36579","F36579","diagnosis","UC",0.0599762880630492
"F35521","F35521","diagnosis","UC",0.0599762880630492
"F35575","F35575","diagnosis","UC",0.0599762880630492
"F51768","F51768","diagnosis","UC",0.0599762880630492
"F31459","F31459","diagnosis","UC",0.0599979150259003
"F4051","F4051","diagnosis","UC",0.0600140282659564
"F14834","F14834","diagnosis","UC",0.0600383273520463
"F38502","F38502","diagnosis","UC",0.0600414212651497
"F9354","F9354","diagnosis","UC",0.0600489952081697
"F33319","F33319","diagnosis","UC",0.0600489952081697
"F38131","F38131","diagnosis","UC",0.0600712601865974
"F5248","F5248","diagnosis","UC",0.0600712601865974
"F23102","F23102","diagnosis","UC",0.0601212836448524
"F16409","F16409","diagnosis","UC",0.0601568935662314
"F731","F731","diagnosis","UC",0.0601638128140442
"F50686","F50686","diagnosis","UC",0.0601704030182798
"F7067","F7067","diagnosis","UC",0.0601776552603807
"F12131","F12131","diagnosis","UC",0.0601963052609729
"F10166","F10166","diagnosis","UC",0.0602194390725273
"F60023","F60023","diagnosis","UC",0.0602660987801149
"F46989","F46989","diagnosis","UC",0.0602984054885071
"F48411","F48411","diagnosis","UC",0.0603204673815039
"F5793","F5793","diagnosis","UC",0.0603391174513818
"F50850","F50850","diagnosis","UC",0.0603424746152028
"F6336","F6336","diagnosis","UC",0.0603866318381741
"F61898","F61898","diagnosis","UC",0.0603919961149566
"F13783","F13783","diagnosis","UC",0.0604130066758347
"F25371","F25371","diagnosis","UC",0.0604378156969236
"F8921","F8921","diagnosis","UC",0.0604444187445437
"F6875","F6875","diagnosis","UC",0.0604638596731006
"F37739","F37739","diagnosis","UC",0.0604844081460446
"F31358","F31358","diagnosis","UC",0.0604969329818414
"F59413","F59413","diagnosis","UC",0.0604999954165175
"F1530","F1530","diagnosis","UC",0.0604999954165175
"F34201","F34201","diagnosis","UC",0.0604999954165175
"F42865","F42865","diagnosis","UC",0.0604999954165175
"F59953","F59953","diagnosis","UC",0.0604999954165175
"F36378","F36378","diagnosis","UC",0.0604999954165175
"F52256","F52256","diagnosis","UC",0.0604999954165175
"F54550","F54550","diagnosis","UC",0.0605030839603804
"F517","F517","diagnosis","UC",0.0606043163600709
"F53066","F53066","diagnosis","UC",0.0606057477999775
"F17166","F17166","diagnosis","UC",0.060614255293295
"F17659","F17659","diagnosis","UC",0.060614255293295
"F2268","F2268","diagnosis","UC",0.060614255293295
"F44257","F44257","diagnosis","UC",0.060614255293295
"F49262","F49262","diagnosis","UC",0.0606210127518258
"F11025","F11025","diagnosis","UC",0.0606290316126163
"F16884","F16884","diagnosis","UC",0.0606616853518228
"F47502","F47502","diagnosis","UC",0.0607381855076455
"F45147","F45147","diagnosis","UC",0.0607381855076455
"F8717","F8717","diagnosis","UC",0.0607381855076455
"F5007","F5007","diagnosis","UC",0.0607381855076455
"F11357","F11357","diagnosis","UC",0.0607649801471982
"F50346","F50346","diagnosis","UC",0.0607879326428968
"F53905","F53905","diagnosis","UC",0.0607879326428968
"F61671","F61671","diagnosis","UC",0.0607879326428968
"F21103","F21103","diagnosis","UC",0.0607893080555139
"F40187","F40187","diagnosis","UC",0.0608125367058619
"F324","F324","diagnosis","UC",0.0608489795245933
"F57303","F57303","diagnosis","UC",0.0608840976362578
"F50811","F50811","diagnosis","UC",0.0609188454726944
"F47314","F47314","diagnosis","UC",0.0609188454726944
"F4544","F4544","diagnosis","UC",0.0609645658503268
"F25560","F25560","diagnosis","UC",0.0610472206571693
"F22975","F22975","diagnosis","UC",0.0610654471104433
"F36187","F36187","diagnosis","UC",0.0610671267451039
"F43758","F43758","diagnosis","UC",0.0610817165460146
"F36217","F36217","diagnosis","UC",0.0611036699080729
"F4769","F4769","diagnosis","UC",0.0611332913171062
"F17962","F17962","diagnosis","UC",0.0611332913171062
"F52488","F52488","diagnosis","UC",0.0611332913171062
"F7529","F7529","diagnosis","UC",0.0611346789925351
"F50203","F50203","diagnosis","UC",0.0611346789925351
"F49231","F49231","diagnosis","UC",0.0611353484074942
"F25599","F25599","diagnosis","UC",0.0611449864595981
"F32490","F32490","diagnosis","UC",0.0611646670990527
"F23859","F23859","diagnosis","UC",0.0612098177335976
"F36633","F36633","diagnosis","UC",0.0612308084544815
"F17724","F17724","diagnosis","UC",0.061270307404743
"F22231","F22231","diagnosis","UC",0.0612985280599477
"F11073","F11073","diagnosis","UC",0.0613484567634286
"F11090","F11090","diagnosis","UC",0.0613623357092266
"F51318","F51318","diagnosis","UC",0.0613623357092266
"F19648","F19648","diagnosis","UC",0.0613816011173693
"F36886","F36886","diagnosis","UC",0.0613816011173693
"F32192","F32192","diagnosis","UC",0.0613886355247741
"F43280","F43280","diagnosis","UC",0.0613886355247741
"F12022","F12022","diagnosis","UC",0.0614075559813521
"F6950","F6950","diagnosis","UC",0.0614272832149062
"F51256","F51256","diagnosis","UC",0.0614286109942924
"F505","F505","diagnosis","UC",0.0614286109942924
"F53662","F53662","diagnosis","UC",0.0614397394562249
"F52515","F52515","diagnosis","UC",0.0614675276558152
"F20424","F20424","diagnosis","UC",0.0614681161740984
"F10421","F10421","diagnosis","UC",0.0614997552716561
"F47848","F47848","diagnosis","UC",0.0615143683094054
"F51262","F51262","diagnosis","UC",0.0615143683094054
"F18695","F18695","diagnosis","UC",0.0615850748312408
"F38235","F38235","diagnosis","UC",0.0615850748312408
"F27455","F27455","diagnosis","UC",0.0615850748312408
"F31424","F31424","diagnosis","UC",0.0615850748312408
"F30606","F30606","diagnosis","UC",0.0615850748312408
"F23227","F23227","diagnosis","UC",0.0615870413126518
"F8025","F8025","diagnosis","UC",0.0616011821149464
"F50009","F50009","diagnosis","UC",0.0616011821149464
"F31933","F31933","diagnosis","UC",0.0616011821149464
"F43645","F43645","diagnosis","UC",0.0616356425644162
"F20723","F20723","diagnosis","UC",0.0616356425644162
"F6358","F6358","diagnosis","UC",0.0616356425644162
"F22152","F22152","diagnosis","UC",0.0616356425644162
"F27177","F27177","diagnosis","UC",0.0616356425644162
"F13084","F13084","diagnosis","UC",0.0616500218081101
"F52720","F52720","diagnosis","UC",0.0616500218081101
"F5637","F5637","diagnosis","UC",0.0616500218081101
"F26109","F26109","diagnosis","UC",0.0616500218081101
"F26412","F26412","diagnosis","UC",0.0616666147526489
"F39998","F39998","diagnosis","UC",0.0616954146431533
"F51078","F51078","diagnosis","UC",0.0617510515721213
"F62970","F62970","diagnosis","UC",0.0617510515721213
"F3074","F3074","diagnosis","UC",0.0617703417244852
"F23714","F23714","diagnosis","UC",0.0618400965976838
"F53266","F53266","diagnosis","UC",0.0618411083911547
"F2124","F2124","diagnosis","UC",0.0619067140301645
"F47267","F47267","diagnosis","UC",0.0619067140301645
"F961","F961","diagnosis","UC",0.0619448988051315
"F54277","F54277","diagnosis","UC",0.0619475226370971
"F9042","F9042","diagnosis","UC",0.0619491096147423
"F41937","F41937","diagnosis","UC",0.0619491096147423
"F52685","F52685","diagnosis","UC",0.0619675096478809
"F38430","F38430","diagnosis","UC",0.0619820517786122
"F60340","F60340","diagnosis","UC",0.0619820517786122
"F3513","F3513","diagnosis","UC",0.0620186483314493
"F13243","F13243","diagnosis","UC",0.0620191858154497
"F56886","F56886","diagnosis","UC",0.0620426137740818
"F53020","F53020","diagnosis","UC",0.0620556752841578
"F60718","F60718","diagnosis","UC",0.0620584654513813
"F31880","F31880","diagnosis","UC",0.0620683673421933
"F32003","F32003","diagnosis","UC",0.0622231816546468
"F12337","F12337","diagnosis","UC",0.0622257692233649
"F50667","F50667","diagnosis","UC",0.0622269093774285
"F33485","F33485","diagnosis","UC",0.0622487985114345
"F8353","F8353","diagnosis","UC",0.0623229712018555
"F48331","F48331","diagnosis","UC",0.0623501098802611
"F33524","F33524","diagnosis","UC",0.0623501098802611
"F37515","F37515","diagnosis","UC",0.0623701408635237
"F11756","F11756","diagnosis","UC",0.0623701408635237
"F10819","F10819","diagnosis","UC",0.062372428366652
"F45510","F45510","diagnosis","UC",0.0623784047937905
"F58044","F58044","diagnosis","UC",0.0624039101873159
"F52713","F52713","diagnosis","UC",0.0624181157862656
"F10594","F10594","diagnosis","UC",0.0624181157862656
"F58621","F58621","diagnosis","UC",0.0624338515440992
"F49692","F49692","diagnosis","UC",0.0624338515440992
"F31274","F31274","diagnosis","UC",0.0624338515440992
"F11408","F11408","diagnosis","UC",0.0624693365596463
"F55665","F55665","diagnosis","UC",0.0624993300719746
"F15135","F15135","diagnosis","UC",0.062523838255165
"F51155","F51155","diagnosis","UC",0.062523838255165
"F28318","F28318","diagnosis","UC",0.062527855149004
"F48254","F48254","diagnosis","UC",0.062527855149004
"F48127","F48127","diagnosis","UC",0.0625305274480387
"F60133","F60133","diagnosis","UC",0.0626015274522463
"F27431","F27431","diagnosis","UC",0.0626076257379819
"F27701","F27701","diagnosis","UC",0.0626259889937162
"F34005","F34005","diagnosis","UC",0.0626259889937162
"F51540","F51540","diagnosis","UC",0.0626259889937162
"F13397","F13397","diagnosis","UC",0.0626295742152821
"F57470","F57470","diagnosis","UC",0.0626295742152821
"F39217","F39217","diagnosis","UC",0.0626684414275145
"F10776","F10776","diagnosis","UC",0.0627485560028682
"F12812","F12812","diagnosis","UC",0.0627823492715607
"F53642","F53642","diagnosis","UC",0.062785156935328
"F8469","F8469","diagnosis","UC",0.0628096910025064
"F10048","F10048","diagnosis","UC",0.0628236836771334
"F10786","F10786","diagnosis","UC",0.0628236836771334
"F52124","F52124","diagnosis","UC",0.0628236836771334
"F5935","F5935","diagnosis","UC",0.0628328634981355
"F31148","F31148","diagnosis","UC",0.0628350992298446
"F34554","F34554","diagnosis","UC",0.0628350992298446
"F50598","F50598","diagnosis","UC",0.0628551452995477
"F29091","F29091","diagnosis","UC",0.06288095715002
"F46208","F46208","diagnosis","UC",0.062965346753794
"F6065","F6065","diagnosis","UC",0.062965346753794
"F167","F167","diagnosis","UC",0.062975975767187
"F3360","F3360","diagnosis","UC",0.0629797000280994
"F8663","F8663","diagnosis","UC",0.0629901884089294
"F8923","F8923","diagnosis","UC",0.0629901884089294
"F450","F450","diagnosis","UC",0.0630155128809521
"F28567","F28567","diagnosis","UC",0.0630419378869423
"F1490","F1490","diagnosis","UC",0.0630458918992128
"F45026","F45026","diagnosis","UC",0.0630544386739619
"F16315","F16315","diagnosis","UC",0.0631072584468658
"F47673","F47673","diagnosis","UC",0.0631177301922062
"F18643","F18643","diagnosis","UC",0.0631260915727158
"F8900","F8900","diagnosis","UC",0.0631260915727158
"F40828","F40828","diagnosis","UC",0.0631260915727158
"F44912","F44912","diagnosis","UC",0.0631260915727158
"F24201","F24201","diagnosis","UC",0.0631278625182936
"F44411","F44411","diagnosis","UC",0.0631278625182936
"F44223","F44223","diagnosis","UC",0.0631278625182936
"F57133","F57133","diagnosis","UC",0.0631278625182936
"F3312","F3312","diagnosis","UC",0.0631278625182936
"F49674","F49674","diagnosis","UC",0.0631573740861321
"F283","F283","diagnosis","UC",0.0631683162903163
"F17179","F17179","diagnosis","UC",0.0631683162903163
"F29808","F29808","diagnosis","UC",0.0631683162903163
"F44963","F44963","diagnosis","UC",0.0631699683694089
"F11724","F11724","diagnosis","UC",0.0631834657827151
"F1738","F1738","diagnosis","UC",0.0631840919755719
"F13389","F13389","diagnosis","UC",0.0632258839626681
"F11785","F11785","diagnosis","UC",0.0632388124805627
"F24471","F24471","diagnosis","UC",0.0633076231724366
"F6987","F6987","diagnosis","UC",0.0633076231724366
"F26741","F26741","diagnosis","UC",0.0633156907160769
"F11579","F11579","diagnosis","UC",0.063317901350607
"F31449","F31449","diagnosis","UC",0.063317901350607
"F30585","F30585","diagnosis","UC",0.0633797776300741
"F12693","F12693","diagnosis","UC",0.0633806965168736
"F52324","F52324","diagnosis","UC",0.0634620121413895
"F3217","F3217","diagnosis","UC",0.0634892283189485
"F30706","F30706","diagnosis","UC",0.0634894225189165
"F12889","F12889","diagnosis","UC",0.0634894225189165
"F52718","F52718","diagnosis","UC",0.0634894225189165
"F42228","F42228","diagnosis","UC",0.0635031355747239
"F8723","F8723","diagnosis","UC",0.063527036039699
"F5435","F5435","diagnosis","UC",0.0635677456143587
"F1036","F1036","diagnosis","UC",0.0635776352338038
"F59667","F59667","diagnosis","UC",0.0635776352338038
"F25265","F25265","diagnosis","UC",0.0636005484689063
"F43930","F43930","diagnosis","UC",0.063617787044716
"F55382","F55382","diagnosis","UC",0.063617787044716
"F58419","F58419","diagnosis","UC",0.063617787044716
"F20886","F20886","diagnosis","UC",0.0636303203089173
"F55538","F55538","diagnosis","UC",0.0636558125319348
"F15429","F15429","diagnosis","UC",0.0636715546134286
"F5672","F5672","diagnosis","UC",0.0636715546134286
"F15196","F15196","diagnosis","UC",0.0636722365261311
"F22365","F22365","diagnosis","UC",0.0636722365261311
"F12066","F12066","diagnosis","UC",0.0636813167925318
"F18482","F18482","diagnosis","UC",0.0636813167925318
"F53527","F53527","diagnosis","UC",0.0637088598570976
"F26663","F26663","diagnosis","UC",0.063758429646411
"F2593","F2593","diagnosis","UC",0.063758429646411
"F7487","F7487","diagnosis","UC",0.063762805130617
"F8342","F8342","diagnosis","UC",0.0637802403438266
"F10159","F10159","diagnosis","UC",0.0637802403438266
"F45741","F45741","diagnosis","UC",0.0637802403438266
"F34509","F34509","diagnosis","UC",0.0637902218139976
"F3506","F3506","diagnosis","UC",0.0637902218139976
"F47833","F47833","diagnosis","UC",0.0637902218139976
"F44025","F44025","diagnosis","UC",0.0638267670592935
"F23475","F23475","diagnosis","UC",0.0638486411219625
"F7842","F7842","diagnosis","UC",0.0638486411219625
"F33785","F33785","diagnosis","UC",0.0638486411219625
"F57292","F57292","diagnosis","UC",0.0638724919368477
"F5","F5","diagnosis","UC",0.063887848767295
"F47276","F47276","diagnosis","UC",0.0639055101180514
"F35013","F35013","diagnosis","UC",0.0639626384422705
"F58386","F58386","diagnosis","UC",0.0639907646225669
"F47586","F47586","diagnosis","UC",0.0640625108518247
"F44036","F44036","diagnosis","UC",0.0641153527589697
"F31814","F31814","diagnosis","UC",0.0641338619709799
"F7830","F7830","diagnosis","UC",0.0641338619709799
"F11719","F11719","diagnosis","UC",0.0641338619709799
"F44742","F44742","diagnosis","UC",0.0641481176315614
"F8789","F8789","diagnosis","UC",0.064161211393292
"F1206","F1206","diagnosis","UC",0.0641617064818296
"F54701","F54701","diagnosis","UC",0.0641628120342995
"F47874","F47874","diagnosis","UC",0.0641941838707989
"F6620","F6620","diagnosis","UC",0.0641941838707989
"F3478","F3478","diagnosis","UC",0.0642054991887787
"F4969","F4969","diagnosis","UC",0.064213345247848
"F36620","F36620","diagnosis","UC",0.064257696791759
"F6514","F6514","diagnosis","UC",0.0642601800760709
"F28702","F28702","diagnosis","UC",0.0642781542569653
"F51432","F51432","diagnosis","UC",0.0643035775267273
"F19031","F19031","diagnosis","UC",0.0643035775267273
"F38670","F38670","diagnosis","UC",0.0643699524879026
"F1013","F1013","diagnosis","UC",0.0643699524879026
"F51994","F51994","diagnosis","UC",0.0643699524879026
"F6551","F6551","diagnosis","UC",0.0643732760387831
"F1751","F1751","diagnosis","UC",0.0643832339138068
"F12769","F12769","diagnosis","UC",0.0643832339138068
"F48071","F48071","diagnosis","UC",0.0644048275870708
"F5373","F5373","diagnosis","UC",0.0644248533591339
"F62766","F62766","diagnosis","UC",0.0644248533591339
"F42479","F42479","diagnosis","UC",0.0644406553131696
"F20966","F20966","diagnosis","UC",0.0644446177096078
"F47402","F47402","diagnosis","UC",0.0644446177096078
"F44055","F44055","diagnosis","UC",0.0644446177096078
"F28528","F28528","diagnosis","UC",0.0645218375648977
"F51897","F51897","diagnosis","UC",0.0645280226298425
"F10679","F10679","diagnosis","UC",0.0645325820983449
"F599","F599","diagnosis","UC",0.0645369214896418
"F47947","F47947","diagnosis","UC",0.0645433382948471
"F10162","F10162","diagnosis","UC",0.0645615858174986
"F33023","F33023","diagnosis","UC",0.0645695023223807
"F41836","F41836","diagnosis","UC",0.0645769798724895
"F12989","F12989","diagnosis","UC",0.0645811710845618
"F670","F670","diagnosis","UC",0.0646295008885625
"F57581","F57581","diagnosis","UC",0.0646341139618361
"F22273","F22273","diagnosis","UC",0.0646392626459072
"F38724","F38724","diagnosis","UC",0.0646468018348317
"F27459","F27459","diagnosis","UC",0.0646996761350732
"F7737","F7737","diagnosis","UC",0.0647198497927998
"F106","F106","diagnosis","UC",0.0647305042921188
"F41656","F41656","diagnosis","UC",0.0647439499674036
"F10875","F10875","diagnosis","UC",0.0647616955469976
"F18027","F18027","diagnosis","UC",0.0647862511512912
"F61239","F61239","diagnosis","UC",0.0647887459540062
"F6253","F6253","diagnosis","UC",0.0648015205829221
"F6386","F6386","diagnosis","UC",0.0648061466370949
"F9160","F9160","diagnosis","UC",0.0648061466370949
"F58755","F58755","diagnosis","UC",0.0648061466370949
"F44974","F44974","diagnosis","UC",0.0648149477612004
"F7771","F7771","diagnosis","UC",0.0649114083191695
"F44521","F44521","diagnosis","UC",0.0649804616439316
"F39732","F39732","diagnosis","UC",0.0649945050045384
"F38895","F38895","diagnosis","UC",0.0650526612111845
"F24550","F24550","diagnosis","UC",0.0650582205973391
"F11099","F11099","diagnosis","UC",0.0650625180750772
"F19038","F19038","diagnosis","UC",0.0650625180750772
"F18820","F18820","diagnosis","UC",0.0650735909157567
"F33985","F33985","diagnosis","UC",0.0650854497422855
"F36418","F36418","diagnosis","UC",0.0650867852963716
"F36493","F36493","diagnosis","UC",0.0651057327679345
"F4890","F4890","diagnosis","UC",0.0651068790227021
"F59458","F59458","diagnosis","UC",0.0651068790227021
"F747","F747","diagnosis","UC",0.0651857048360946
"F11065","F11065","diagnosis","UC",0.0651857048360946
"F7196","F7196","diagnosis","UC",0.0652121061732584
"F56163","F56163","diagnosis","UC",0.0652125877943802
"F14864","F14864","diagnosis","UC",0.0652245361418696
"F36924","F36924","diagnosis","UC",0.0652350044231075
"F4868","F4868","diagnosis","UC",0.0652350044231075
"F11597","F11597","diagnosis","UC",0.0652350044231075
"F49568","F49568","diagnosis","UC",0.0652499442763183
"F49970","F49970","diagnosis","UC",0.0653355577595795
"F55316","F55316","diagnosis","UC",0.0653632655145206
"F47304","F47304","diagnosis","UC",0.0653888538294658
"F2716","F2716","diagnosis","UC",0.0653888538294658
"F52723","F52723","diagnosis","UC",0.0653888538294658
"F55857","F55857","diagnosis","UC",0.0653888538294658
"F44467","F44467","diagnosis","UC",0.0653999082265797
"F56620","F56620","diagnosis","UC",0.0654040850807085
"F19318","F19318","diagnosis","UC",0.0654056324075194
"F3153","F3153","diagnosis","UC",0.0654056324075194
"F42814","F42814","diagnosis","UC",0.065425011834469
"F48257","F48257","diagnosis","UC",0.0654791895278503
"F11470","F11470","diagnosis","UC",0.0654791895278503
"F24145","F24145","diagnosis","UC",0.0654791895278503
"F5211","F5211","diagnosis","UC",0.0654880737438265
"F15575","F15575","diagnosis","UC",0.0654953663086611
"F3758","F3758","diagnosis","UC",0.065528335483697
"F47870","F47870","diagnosis","UC",0.0655830179866799
"F10060","F10060","diagnosis","UC",0.065596742958595
"F49111","F49111","diagnosis","UC",0.0656120492967805
"F52239","F52239","diagnosis","UC",0.0656120492967805
"F12082","F12082","diagnosis","UC",0.0656373173024467
"F490","F490","diagnosis","UC",0.0656373173024467
"F117","F117","diagnosis","UC",0.0656373173024467
"F14710","F14710","diagnosis","UC",0.0656373173024467
"F56134","F56134","diagnosis","UC",0.0656511765223
"F64231","F64231","diagnosis","UC",0.0657312382568301
"F17671","F17671","diagnosis","UC",0.0657549881135918
"F38830","F38830","diagnosis","UC",0.0657549881135918
"F1197","F1197","diagnosis","UC",0.0657629504789374
"F12820","F12820","diagnosis","UC",0.0657629504789374
"F26755","F26755","diagnosis","UC",0.0657657839586844
"F45480","F45480","diagnosis","UC",0.0658430887214143
"F8990","F8990","diagnosis","UC",0.0658539282645452
"F16147","F16147","diagnosis","UC",0.0658695064933886
"F53771","F53771","diagnosis","UC",0.0658695064933886
"F30770","F30770","diagnosis","UC",0.0659415698068214
"F4363","F4363","diagnosis","UC",0.0659447791454816
"F22498","F22498","diagnosis","UC",0.0659520925647916
"F54575","F54575","diagnosis","UC",0.0659759589464972
"F66334","F66334","diagnosis","UC",0.0660974273884688
"F23445","F23445","diagnosis","UC",0.0661151347863219
"F18046","F18046","diagnosis","UC",0.0661284212447936
"F6523","F6523","diagnosis","UC",0.0661323648909983
"F49952","F49952","diagnosis","UC",0.0661505273692463
"F48793","F48793","diagnosis","UC",0.0661545696700451
"F2320","F2320","diagnosis","UC",0.0661868209637208
"F29521","F29521","diagnosis","UC",0.0661868209637208
"F12142","F12142","diagnosis","UC",0.0661907992166422
"F17553","F17553","diagnosis","UC",0.066195643557753
"F14261","F14261","diagnosis","UC",0.0662259006412792
"F28320","F28320","diagnosis","UC",0.0662259006412792
"F7177","F7177","diagnosis","UC",0.066227964523384
"F11816","F11816","diagnosis","UC",0.0662632211848596
"F6275","F6275","diagnosis","UC",0.0662632211848596
"F13881","F13881","diagnosis","UC",0.0662703993268868
"F21840","F21840","diagnosis","UC",0.0662801523015492
"F8236","F8236","diagnosis","UC",0.0663278294983417
"F587","F587","diagnosis","UC",0.0663278294983417
"F3019","F3019","diagnosis","UC",0.0663278294983417
"F8779","F8779","diagnosis","UC",0.0663278294983417
"F10372","F10372","diagnosis","UC",0.0663278294983417
"F34171","F34171","diagnosis","UC",0.0663495750695896
"F63546","F63546","diagnosis","UC",0.0663714783686628
"F29733","F29733","diagnosis","UC",0.0663714783686628
"F24315","F24315","diagnosis","UC",0.0663714783686628
"F34787","F34787","diagnosis","UC",0.0663820311276168
"F42970","F42970","diagnosis","UC",0.0664123379524175
"F13025","F13025","diagnosis","UC",0.0664211136992368
"F44632","F44632","diagnosis","UC",0.0664211136992368
"F15814","F15814","diagnosis","UC",0.0664416969901404
"F31856","F31856","diagnosis","UC",0.0664416969901404
"F22866","F22866","diagnosis","UC",0.0664416969901404
"F48046","F48046","diagnosis","UC",0.0664416969901404
"F10871","F10871","diagnosis","UC",0.0664416969901404
"F10208","F10208","diagnosis","UC",0.0664955109806627
"F7534","F7534","diagnosis","UC",0.0664976224537859
"F25217","F25217","diagnosis","UC",0.0664976224537859
"F33790","F33790","diagnosis","UC",0.0665012451330032
"F36502","F36502","diagnosis","UC",0.0665384142336747
"F25405","F25405","diagnosis","UC",0.0665586799810593
"F8905","F8905","diagnosis","UC",0.0665766822432489
"F38965","F38965","diagnosis","UC",0.0665959656792117
