"","feature","metadata","value","qvalue"
"F53667","F53667","diagnosis","UC",7.24448441307736e-08
"F700","F700","diagnosis","UC",7.24448441307736e-08
"F1806","F1806","diagnosis","UC",7.24448441307736e-08
"F2488","F2488","diagnosis","UC",7.24448441307736e-08
"F39553","F39553","diagnosis","UC",7.24448441307736e-08
"F2959","F2959","diagnosis","UC",7.24448441307736e-08
"F10883","F10883","diagnosis","UC",7.24448441307736e-08
"F41076","F41076","diagnosis","UC",7.24448441307736e-08
"F2843","F2843","diagnosis","UC",7.48557641167879e-08
"F9485","F9485","diagnosis","UC",7.48557641167879e-08
"F50431","F50431","diagnosis","UC",7.48557641167879e-08
"F1593","F1593","diagnosis","UC",7.75247371513985e-08
"F3741","F3741","diagnosis","UC",7.75247371513985e-08
"F9477","F9477","diagnosis","UC",7.94872644667906e-08
"F40888","F40888","diagnosis","UC",8.05644643509127e-08
"F40753","F40753","diagnosis","UC",8.08635947172453e-08
"F1188","F1188","diagnosis","UC",8.08635947172453e-08
"F52463","F52463","diagnosis","UC",8.74278944976811e-08
"F41308","F41308","diagnosis","UC",8.74278944976811e-08
"F41676","F41676","diagnosis","UC",8.74338273136574e-08
"F48918","F48918","diagnosis","UC",8.82631776102864e-08
"F49944","F49944","diagnosis","UC",8.87503246206679e-08
"F50387","F50387","diagnosis","UC",8.87858608569765e-08
"F55806","F55806","diagnosis","UC",8.92591459358653e-08
"F55240","F55240","diagnosis","UC",8.92591459358653e-08
"F3192","F3192","diagnosis","UC",9.14189330225627e-08
"F2374","F2374","diagnosis","UC",9.43688278930076e-08
"F4580","F4580","diagnosis","UC",9.49501922610406e-08
"F1590","F1590","diagnosis","UC",9.50649315021819e-08
"F46268","F46268","diagnosis","UC",9.74518650206175e-08
"F8518","F8518","diagnosis","UC",1.02677278964139e-07
"F47571","F47571","diagnosis","UC",1.05760155014329e-07
"F1048","F1048","diagnosis","UC",1.06863217885923e-07
"F50902","F50902","diagnosis","UC",1.08250881173347e-07
"F2741","F2741","diagnosis","UC",1.09680139378039e-07
"F53721","F53721","diagnosis","UC",1.09680139378039e-07
"F41362","F41362","diagnosis","UC",1.16126443057785e-07
"F4308","F4308","diagnosis","UC",1.18720446182247e-07
"F10800","F10800","diagnosis","UC",1.18720446182247e-07
"F42710","F42710","diagnosis","UC",1.19098838796548e-07
"F1689","F1689","diagnosis","UC",1.19353927643883e-07
"F54757","F54757","diagnosis","UC",1.19353927643883e-07
"F32042","F32042","diagnosis","UC",1.24032389008584e-07
"F50214","F50214","diagnosis","UC",1.24267199929751e-07
"F4887","F4887","diagnosis","UC",1.25242090258483e-07
"F47129","F47129","diagnosis","UC",1.37356049020229e-07
"F40966","F40966","diagnosis","UC",1.37356049020229e-07
"F5278","F5278","diagnosis","UC",1.3917845420002e-07
"F9831","F9831","diagnosis","UC",1.3917845420002e-07
"F45207","F45207","diagnosis","UC",1.48948033636344e-07
"F2635","F2635","diagnosis","UC",1.50004872183207e-07
"F2927","F2927","diagnosis","UC",1.50004872183207e-07
"F41782","F41782","diagnosis","UC",1.50004872183207e-07
"F49885","F49885","diagnosis","UC",1.50004872183207e-07
"F3645","F3645","diagnosis","UC",1.52746262415147e-07
"F5006","F5006","diagnosis","UC",1.52746262415147e-07
"F7875","F7875","diagnosis","UC",1.52746262415147e-07
"F6676","F6676","diagnosis","UC",1.53822008966738e-07
"F7911","F7911","diagnosis","UC",1.53822008966738e-07
"F40914","F40914","diagnosis","UC",1.53822008966738e-07
"F41156","F41156","diagnosis","UC",1.53822008966738e-07
"F46671","F46671","diagnosis","UC",1.53822008966738e-07
"F48123","F48123","diagnosis","UC",1.53928216896067e-07
"F40968","F40968","diagnosis","UC",1.55898189525325e-07
"F995","F995","diagnosis","UC",1.58006952284994e-07
"F9837","F9837","diagnosis","UC",1.59584635783052e-07
"F38973","F38973","diagnosis","UC",1.59584635783052e-07
"F55950","F55950","diagnosis","UC",1.59584635783052e-07
"F2707","F2707","diagnosis","UC",1.61743568221752e-07
"F1408","F1408","diagnosis","UC",1.61743568221752e-07
"F41355","F41355","diagnosis","UC",1.61743568221752e-07
"F4170","F4170","diagnosis","UC",1.63131036854446e-07
